# Initial mass = 1.000, Z =  0.0140, Y =  0.280, M_mix = 0.00E+00
# Final mass = 0.585, Mass expelled =   0.4150
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 6.91556E-01 2.86996E-01
 he   2  11.038011  0.108010  0.090027 2.99753E-01 1.24397E-01
  c   6   8.425781 -0.044219 -0.062202 2.19648E-03 9.11539E-04
  n   7   8.075784  0.205784  0.187800 1.14418E-03 4.74836E-04
  o   8   8.741510  0.011511 -0.006473 6.05299E-03 2.51199E-03
  f   9   4.477543  0.017543 -0.000441 3.91397E-07 1.62430E-07
 ne  10   7.987835  0.017836 -0.000148 1.34624E-03 5.58691E-04
 na  11   6.334542  0.024542  0.006559 3.40760E-05 1.41415E-05
 mg  12   7.657978  0.017978 -0.000006 7.58647E-04 3.14839E-04
 al  13   6.488006  0.018006  0.000023 5.69439E-05 2.36317E-05
 si  14   7.567984  0.017983  0.000000 7.12591E-04 2.95725E-04
  p  15   5.487983  0.017983  0.000000 6.53653E-06 2.71266E-06
  s  16   7.177985  0.017985  0.000001 3.31423E-04 1.37541E-04
 cl  17   5.247982  0.017982 -0.000002 4.30528E-06 1.78669E-06
 ar  18   6.457978  0.017978 -0.000005 7.86756E-05 3.26504E-05
  k  19   5.097346  0.017346 -0.000638 3.35635E-06 1.39289E-06
 ca  20   6.307971  0.017971 -0.000012 5.58784E-05 2.31895E-05
 sc  21   3.067983  0.017983 -0.000001 3.60693E-08 1.49688E-08
 ti  22   4.927985  0.017985  0.000001 2.78220E-06 1.15461E-06
  v  23   3.976897  0.016897 -0.001086 3.31390E-07 1.37527E-07
 cr  24   5.638692 -0.001307 -0.019291 1.55249E-05 6.44284E-06
 mn  25   5.497988  0.017988  0.000005 1.18639E-05 4.92352E-06
 fe  26   7.557983  0.017983  0.000000 1.38463E-03 5.74623E-04
 co  27   4.887979  0.017979 -0.000004 3.12395E-06 1.29644E-06
 ni  28   6.217986  0.017986  0.000003 6.65180E-05 2.76050E-05
 cu  29   4.267983  0.017983  0.000000 8.08051E-07 3.35341E-07
