# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
 ca  20   5.589588 -0.700412  0.000087  1.11425E-05 -3.20524E-08  9.47115E-06
 sc  21   2.394346 -0.655654  0.044845  7.97304E-09  6.42778E-10  6.77709E-09
 ti  22   4.226665 -0.683334  0.017164  5.77021E-07  1.73003E-08  4.90468E-07
  v  23   3.260627 -0.699373  0.001125  6.64036E-08  8.36238E-11  5.64431E-08
 cr  24   4.921201 -0.718799 -0.018300  3.10213E-06 -3.51270E-09  2.63681E-06
 mn  25   4.783939 -0.696061  0.004438  2.38947E-06  1.33487E-08  2.03105E-06
 fe  26   6.839501 -0.700499  0.000000  2.76042E-04 -8.48464E-07  2.34636E-04
 co  27   4.201792 -0.668208  0.032290  6.70873E-07  3.89483E-08  5.70242E-07
 ni  28   5.502760 -0.697239  0.003259  1.33609E-05  4.40468E-08  1.13568E-05
 cu  29   3.621713 -0.628287  0.072211  1.90235E-07  2.42748E-08  1.61700E-07
 zn  30   3.990092 -0.639908  0.060591  4.57320E-07  4.93926E-08  3.88722E-07
 ga  31   2.660799 -0.419201  0.281298  2.28383E-08  9.21834E-09  1.94126E-08
 ge  32   3.157515 -0.422485  0.278013  7.46757E-08  3.24446E-08  6.34744E-08
 as  33   1.814809 -0.485191  0.215307  3.49871E-09  1.15594E-09  2.97391E-09
 se  34   3.047138 -0.292862  0.407637  6.29557E-08  3.45252E-08  5.35123E-08
 br  35   2.231299 -0.308701  0.391798  9.73550E-09  4.90575E-09  8.27517E-09
 kr  36   3.175050 -0.074950  0.625548  8.96960E-08  5.81848E-08  7.62416E-08
 rb  37   2.203313 -0.156687  0.543812  9.76352E-09  5.91780E-09  8.29899E-09
 sr  38   3.390277  0.510277  1.210775  1.53946E-07  1.22816E-07  1.30855E-07
  y  39   2.776767  0.606767  1.307265  3.80353E-08  3.07307E-08  3.23300E-08
 zr  40   3.194276  0.664276  1.364774  1.02064E-07  8.29956E-08  8.67547E-08
 nb  41   1.994460  0.584460  1.284959  6.56137E-09  5.28674E-09  5.57716E-09
 mo  42   2.444581  0.504581  1.205080  1.91016E-08  1.54676E-08  1.62364E-08
 ru  44   2.179917  0.419917  1.120416  1.09403E-08  8.77608E-09  9.29926E-09
 rh  45   1.136221  0.076221  0.776720  1.00728E-09  7.12502E-10  8.56190E-10
 pd  46   2.179269  0.529269  1.229767  1.15022E-08  9.27245E-09  9.77690E-09
 ag  47   1.397082  0.197082  0.897581  1.92515E-09  1.42847E-09  1.63638E-09
 cd  48   2.355212  0.645212  1.345711  1.82184E-08  1.48458E-08  1.54857E-08
 in  49   1.220603  0.460603  1.161102  1.36491E-09  1.08327E-09  1.16017E-09
 sn  50   2.798817  0.728817  1.429315  5.34311E-08  4.39474E-08  4.54164E-08
 sb  51   1.289560  0.279560  0.980059  1.69650E-09  1.35534E-09  1.44203E-09
 te  52   2.414174  0.234174  0.934673  2.36873E-08  1.93335E-08  2.01342E-08
  i  53   1.355911 -0.194089  0.506410  2.06005E-09  1.20346E-09  1.75104E-09
 xe  54   2.545025  0.305025  1.005523  3.29425E-08  2.54535E-08  2.80011E-08
 cs  55   1.359676  0.279676  0.980175  2.17625E-09  1.65549E-09  1.84981E-09
 ba  56   3.366978  1.186978  1.887476  2.28677E-07  1.91853E-07  1.94376E-07
 la  57   2.367325  1.197325  1.897823  2.31492E-08  1.94272E-08  1.96768E-08
 ce  58   2.866282  1.286281  1.986780  7.36646E-08  6.19699E-08  6.26149E-08
 pr  59   1.814567  1.054567  1.755065  6.57646E-09  5.49139E-09  5.58999E-09
 nd  60   2.628651  1.178651  1.879149  4.38759E-08  3.68278E-08  3.72945E-08
 sm  62   1.851769  0.911769  1.612268  7.64526E-09  6.38033E-09  6.49847E-09
 eu  63   0.779868  0.269868  0.970367  6.54784E-10  4.96764E-10  5.56567E-10
 gd  64   1.675553  0.625553  1.326052  5.32886E-09  4.31496E-09  4.52953E-09
 tb  65   0.674617  0.354617  1.055115  5.37401E-10  4.16410E-10  4.56791E-10
 dy  66   1.818643  0.688643  1.389141  7.65573E-09  6.24119E-09  6.50737E-09
 ho  67   0.805583  0.335583  1.036082  7.54003E-10  5.81708E-10  6.40902E-10
 er  68   1.640280  0.720280  1.420778  5.22588E-09  4.27576E-09  4.44200E-09
 tm  69   0.714977  0.594977  1.295476  6.26880E-10  5.05765E-10  5.32848E-10
 yb  70   1.968721  1.048721  1.749220  1.15175E-08  9.63778E-09  9.78987E-09
 lu  71   1.032267  0.942267  1.642765  1.34807E-09  1.11968E-09  1.14586E-09
 hf  72   1.945476  1.235476  1.935974  1.12611E-08  9.46077E-09  9.57191E-09
 ta  73   1.031399  1.151399  1.851897  1.39137E-09  1.16597E-09  1.18266E-09
  w  74   1.887164  1.237164  1.937663  1.01413E-08  8.52037E-09  8.62012E-09
 re  75   0.938416  0.678416  1.378914  1.15585E-09  9.41265E-10  9.82472E-10
 os  76   1.900185  0.550185  1.250683  1.08132E-08  8.67341E-09  9.19122E-09
 ir  77   1.158094 -0.161906  0.538593  1.97868E-09  1.19348E-09  1.68188E-09
 pt  78   1.891316  0.271316  0.971815  1.08646E-08  8.31693E-09  9.23494E-09
 au  79   1.110750  0.310750  1.011249  1.81816E-09  1.39430E-09  1.54544E-09
 hg  80   2.375372  1.205372  1.905871  3.40542E-08  2.86106E-08  2.89461E-08
 tl  81   2.026757  1.256757  1.957256  1.55486E-08  1.30700E-08  1.32163E-08
 pb  82   3.771566  1.731566  2.432065  8.75883E-07  7.41737E-07  7.44500E-07
 bi  83   1.751650  1.101650  1.802148  8.43810E-09  7.05886E-09  7.17239E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.8210   1.2943   1.9240   0.6298   0.5080
# Initial mass = 1.750, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.657, Mass expelled =   1.0930
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.15592E-01 -4.10456E-02  7.82142E-01
 he   2  10.994414  0.064414  0.761610  2.80547E-01  3.31945E-02  3.06637E-01
  c   6   8.858532  0.388532  1.085728  6.15625E-03  6.17447E-03  6.72878E-03
  n   7   7.581220 -0.288780  0.408416  3.79114E-04  2.51993E-04  4.14372E-04
  o   8   8.108843 -0.621157  0.076039  1.45929E-03  2.69447E-04  1.59500E-03
  f   9   4.815381  0.355381  1.052577  8.81645E-07  8.77958E-07  9.63639E-07
 ne  10   7.826229 -0.143771  0.553425  9.60185E-04  7.54973E-04  1.04948E-03
 na  11   5.982990 -0.327010  0.370186  1.56940E-05  9.81296E-06  1.71536E-05
 mg  12   6.964975 -0.675025  0.022171  1.59176E-04  8.06946E-06  1.73979E-04
 al  13   5.809609 -0.660390  0.036806  1.23563E-05  1.05296E-06  1.35054E-05
 si  14   6.855179 -0.694821  0.002375  1.42848E-04  2.95418E-07  1.56133E-04
  p  15   4.826804 -0.643196  0.054000  1.47573E-06  1.83487E-07  1.61297E-06
  s  16   6.463588 -0.696412  0.000784  6.61948E-05 -1.27911E-07  7.23509E-05
 cl  17   4.553595 -0.676405  0.020791  9.00435E-07  4.26505E-08  9.84176E-07
 ar  18   5.742574 -0.697426 -0.000230  1.56774E-05 -7.01621E-08  1.71354E-05
  k  19   4.389811 -0.690189  0.007007  6.81037E-07  1.02646E-08  7.44373E-07
 ca  20   5.592348 -0.697652 -0.000456  1.11291E-05 -5.59248E-08  1.21641E-05
 sc  21   2.407435 -0.642565  0.054631  8.15508E-09  1.02550E-09  8.91350E-09
 ti  22   4.228988 -0.681012  0.016184  5.75744E-07  2.08499E-08  6.29288E-07
  v  23   3.261240 -0.698760 -0.001564  6.59965E-08 -3.37451E-10  7.21342E-08
 cr  24   4.924586 -0.715414 -0.018218  3.10285E-06 -3.73075E-09  3.39142E-06
 mn  25   4.791967 -0.688033  0.009163  2.41571E-06  4.58419E-08  2.64037E-06
 fe  26   6.842804 -0.697196  0.000000  2.76053E-04 -1.07865E-06  3.01726E-04
 co  27   4.247728 -0.622272  0.074924  7.40102E-07  1.25750E-07  8.08931E-07
 ni  28   5.506833 -0.693167  0.004029  1.33852E-05  8.31560E-08  1.46300E-05
 cu  29   3.647113 -0.602887  0.094309  2.00174E-07  4.20768E-08  2.18790E-07
 zn  30   3.982989 -0.647011  0.050185  4.46511E-07  5.16999E-08  4.88037E-07
 ga  31   2.605896 -0.474104  0.223092  1.99746E-08  8.72360E-09  2.18322E-08
 ge  32   3.093152 -0.486848  0.210348  6.39047E-08  2.99472E-08  6.98479E-08
 as  33   1.763966 -0.536034  0.161162  3.08873E-09  1.03830E-09  3.37598E-09
 se  34   2.959456 -0.380543  0.316653  5.10585E-08  3.13918E-08  5.58070E-08
 br  35   2.150896 -0.389104  0.308092  8.02916E-09  4.44319E-09  8.77587E-09
 kr  36   3.044777 -0.205223  0.491973  6.59502E-08  4.88647E-08  7.20835E-08
 rb  37   2.115623 -0.244376  0.452820  7.91831E-09  5.59279E-09  8.65472E-09
 sr  38   3.279450  0.399450  1.096646  1.18374E-07  1.19047E-07  1.29383E-07
  y  39   2.662060  0.492060  1.189256  2.89865E-08  2.96257E-08  3.16822E-08
 zr  40   3.072598  0.542598  1.239794  7.65442E-08  7.88290E-08  8.36628E-08
 nb  41   1.872513  0.462513  1.159709  4.91770E-09  5.00160E-09  5.37505E-09
 mo  42   2.319880  0.379880  1.077076  1.42261E-08  1.45606E-08  1.55491E-08
 ru  44   2.050826  0.290826  0.988022  8.06592E-09  8.14330E-09  8.81605E-09
 rh  45   1.022711 -0.037289  0.659907  7.69762E-10  6.56585E-10  8.41350E-10
 pd  46   2.045094  0.395094  1.092290  8.38150E-09  8.51232E-09  9.16098E-09
 ag  47   1.273840  0.073840  0.771036  1.43859E-09  1.30504E-09  1.57238E-09
 cd  48   2.217296  0.507296  1.204492  1.31616E-08  1.35629E-08  1.43857E-08
 in  49   1.086768  0.326768  1.023964  9.95366E-10  9.89046E-10  1.08793E-09
 sn  50   2.658751  0.588752  1.285948  3.84099E-08  4.00931E-08  4.19821E-08
 sb  51   1.152732  0.142732  0.839928  1.22869E-09  1.23149E-09  1.34296E-09
 te  52   2.272106  0.092106  0.789302  1.69497E-08  1.74965E-08  1.85260E-08
  i  53   1.258363 -0.291637  0.405559  1.63322E-09  1.08098E-09  1.78510E-09
 xe  54   2.415969  0.175969  0.873165  2.42894E-08  2.32723E-08  2.65483E-08
 cs  55   1.233008  0.153008  0.850204  1.61345E-09  1.51362E-09  1.76350E-09
 ba  56   3.259678  1.079678  1.776874  1.77271E-07  1.90514E-07  1.93758E-07
 la  57   2.271834  1.101834  1.799030  1.84400E-08  1.98339E-08  2.01549E-08
 ce  58   2.801698  1.221698  1.918894  6.30073E-08  6.80376E-08  6.88670E-08
 pr  59   1.755749  0.995749  1.692945  5.70020E-09  6.10352E-09  6.23032E-09
 nd  60   2.573388  1.123388  1.820584  3.83424E-08  4.13081E-08  4.19082E-08
 sm  62   1.798893  0.858893  1.556089  6.71786E-09  7.19070E-09  7.34262E-09
 eu  63   0.737530  0.227530  0.924726  5.89489E-10  5.67412E-10  6.44311E-10
 gd  64   1.632622  0.582622  1.279818  4.79091E-09  4.96055E-09  5.23646E-09
 tb  65   0.631247  0.311247  1.008443  4.82663E-10  4.75625E-10  5.27550E-10
 dy  66   1.773922  0.643922  1.341118  6.85458E-09  7.14978E-09  7.49206E-09
 ho  67   0.764662  0.294662  0.991858  6.81030E-10  6.68249E-10  7.44366E-10
 er  68   1.604417  0.684417  1.381613  4.77543E-09  5.00577E-09  5.21954E-09
 tm  69   0.674193  0.554193  1.251389  5.66391E-10  5.84239E-10  6.19065E-10
 yb  70   1.930686  1.010686  1.707882  1.04722E-08  1.12505E-08  1.14461E-08
 lu  71   0.994363  0.904363  1.601559  1.22609E-09  1.30646E-09  1.34012E-09
 hf  72   1.917231  1.207231  1.904427  1.04725E-08  1.13035E-08  1.14464E-08
 ta  73   1.005184  1.125184  1.822380  1.30000E-09  1.39944E-09  1.42090E-09
  w  74   1.861013  1.211013  1.908209  9.47675E-09  1.02298E-08  1.03581E-08
 re  75   0.919382  0.659382  1.356578  1.09795E-09  1.14707E-09  1.20006E-09
 os  76   1.877658  0.527658  1.224854  1.01893E-08  1.04710E-08  1.11369E-08
 ir  77   1.142199 -0.177801  0.519395  1.89319E-09  1.44124E-09  2.06926E-09
 pt  78   1.870545  0.250545  0.947741  1.02792E-08  1.00547E-08  1.12352E-08
 au  79   1.091850  0.291850  0.989046  1.72762E-09  1.69395E-09  1.88829E-09
 hg  80   2.361647  1.191647  1.888843  3.27462E-08  3.53602E-08  3.57916E-08
 tl  81   2.030771  1.260771  1.957967  1.55748E-08  1.68350E-08  1.70232E-08
 pb  82   3.807212  1.767212  2.464408  9.43641E-07  1.02785E-06  1.03140E-06
 bi  83   1.766354  1.116354  1.813550  8.66292E-09  9.32259E-09  9.46857E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.7870   1.1752   1.8316   0.6564   0.6328
# Initial mass = 2.000, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.659, Mass expelled =   1.3410
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.06737E-01 -6.22326E-02  9.47735E-01
 he   2  11.007017  0.077017  0.768893  2.85233E-01  4.70108E-02  3.82498E-01
  c   6   9.080593  0.610593  1.302469  1.01384E-02  1.29155E-02  1.35956E-02
  n   7   7.600447 -0.269553  0.422323  3.91372E-04  3.25608E-04  5.24829E-04
  o   8   8.123404 -0.606596  0.085280  1.49037E-03  3.72263E-04  1.99858E-03
  f   9   5.039573  0.579573  1.271450  1.45908E-06  1.85150E-06  1.95662E-06
 ne  10   7.865142 -0.104858  0.587018  1.03720E-03  1.02955E-03  1.39088E-03
 na  11   5.983330 -0.326670  0.365207  1.55120E-05  1.17954E-05  2.08016E-05
 mg  12   6.968461 -0.671539  0.020338  1.58473E-04  8.95794E-06  2.12512E-04
 al  13   5.829438 -0.640562  0.051315  1.27735E-05  1.85137E-06  1.71293E-05
 si  14   6.860829 -0.689171  0.002705  1.42928E-04  4.69576E-07  1.91666E-04
  p  15   4.829173 -0.640827  0.051050  1.46544E-06  2.11326E-07  1.96515E-06
  s  16   6.468764 -0.691236  0.000640  6.61595E-05 -2.04185E-07  8.87199E-05
 cl  17   4.567184 -0.662816  0.029061  9.17562E-07  7.52945E-08  1.23045E-06
 ar  18   5.747462 -0.692538 -0.000661  1.56587E-05 -1.11178E-07  2.09983E-05
  k  19   4.397796 -0.682204  0.009672  6.85090E-07  1.80289E-08  9.18706E-07
 ca  20   5.597135 -0.692865 -0.000988  1.11132E-05 -8.99172E-08  1.49028E-05
 sc  21   2.428123 -0.621877  0.069999  8.44712E-09  1.64981E-09  1.13276E-08
 ti  22   4.232901 -0.677099  0.014778  5.73766E-07  2.29289E-08  7.69421E-07
  v  23   3.262709 -0.697291 -0.005415  6.54006E-08 -1.21313E-09  8.77022E-08
 cr  24   4.929938 -0.710062 -0.018185  3.10246E-06 -5.10727E-09  4.16040E-06
 mn  25   4.804401 -0.675599  0.016277  2.45511E-06  1.09084E-07  3.29231E-06
 fe  26   6.848124 -0.691876  0.000000  2.75998E-04 -1.39797E-06  3.70113E-04
 co  27   4.293065 -0.576935  0.114941  8.11374E-07  2.49859E-07  1.08805E-06
 ni  28   5.513300 -0.686699  0.005177  1.34179E-05  1.45887E-07  1.79934E-05
 cu  29   3.686541 -0.563459  0.128417  2.16484E-07  7.34969E-08  2.90306E-07
 zn  30   3.992393 -0.637608  0.054269  4.50638E-07  6.89645E-08  6.04306E-07
 ga  31   2.610536 -0.469464  0.222412  1.99393E-08  1.06557E-08  2.67386E-08
 ge  32   3.090639 -0.489361  0.202516  6.27498E-08  3.51934E-08  8.41476E-08
 as  33   1.758916 -0.541084  0.150792  3.01525E-09  1.17535E-09  4.04345E-09
 se  34   2.944184 -0.395816  0.296061  4.86843E-08  3.53307E-08  6.52857E-08
 br  35   2.135852 -0.404148  0.287728  7.65982E-09  4.95606E-09  1.02718E-08
 kr  36   3.018968 -0.231032  0.460844  6.13761E-08  5.38181E-08  8.23053E-08
 rb  37   2.095139 -0.264861  0.427015  7.46002E-09  6.24721E-09  1.00039E-08
 sr  38   3.197418  0.317418  1.009295  9.67875E-08  1.17111E-07  1.29792E-07
  y  39   2.582387  0.412387  1.104263  2.38296E-08  2.94323E-08  3.19555E-08
 zr  40   3.018612  0.488612  1.180488  6.67604E-08  8.35951E-08  8.95257E-08
 nb  41   1.824727  0.414727  1.106604  4.35080E-09  5.37624E-09  5.83442E-09
 mo  42   2.291522  0.351522  1.043398  1.31619E-08  1.64373E-08  1.76502E-08
 ru  44   2.028678  0.268678  0.960554  7.57004E-09  9.32602E-09  1.01514E-08
 rh  45   1.005918 -0.054082  0.637794  7.31401E-10  7.54120E-10  9.80809E-10
 pd  46   2.030999  0.380999  1.072876  8.01346E-09  9.95021E-09  1.07461E-08
 ag  47   1.262079  0.062079  0.753956  1.38283E-09  1.52637E-09  1.85438E-09
 cd  48   2.211811  0.501811  1.193687  1.28357E-08  1.62032E-08  1.72126E-08
 in  49   1.084198  0.324198  1.016074  9.77251E-10  1.18917E-09  1.31049E-09
 sn  50   2.668257  0.598257  1.290133  3.87741E-08  4.96785E-08  5.19961E-08
 sb  51   1.168118  0.158118  0.849995  1.25725E-09  1.54921E-09  1.68597E-09
 te  52   2.293091  0.113091  0.804967  1.75687E-08  2.22964E-08  2.35596E-08
  i  53   1.273795 -0.276205  0.415672  1.67135E-09  1.37740E-09  2.24129E-09
 xe  54   2.445315  0.205315  0.897192  2.56658E-08  3.03985E-08  3.44178E-08
 cs  55   1.266314  0.186314  0.878190  1.72049E-09  2.00061E-09  2.30718E-09
 ba  56   3.278419  1.098418  1.790295  1.82798E-07  2.41153E-07  2.45133E-07
 la  57   2.282548  1.112548  1.804424  1.86667E-08  2.46382E-08  2.50320E-08
 ce  58   2.794477  1.214476  1.906353  6.12015E-08  8.10537E-08  8.20713E-08
 pr  59   1.750761  0.990761  1.682637  5.56538E-09  7.30760E-09  7.46317E-09
 nd  60   2.555401  1.105401  1.797277  3.63316E-08  4.79843E-08  4.87206E-08
 sm  62   1.767547  0.827547  1.519423  6.17273E-09  8.09124E-09  8.27763E-09
 eu  63   0.714392  0.204392  0.896268  5.51989E-10  6.45869E-10  7.40217E-10
 gd  64   1.609326  0.559326  1.251203  4.48452E-09  5.67522E-09  6.01374E-09
 tb  65   0.608139  0.288139  0.980015  4.51991E-10  5.42413E-10  6.06120E-10
 dy  66   1.746207  0.616207  1.308084  6.35124E-09  8.09708E-09  8.51702E-09
 ho  67   0.738447  0.268447  0.960324  6.33206E-10  7.55741E-10  8.49129E-10
 er  68   1.583011  0.663011  1.354887  4.48951E-09  5.75816E-09  6.02043E-09
 tm  69   0.647658  0.527658  1.219535  5.26227E-10  6.62943E-10  7.05671E-10
 yb  70   1.898646  0.978646  1.670523  9.60706E-09  1.26431E-08  1.28831E-08
 lu  71   0.957609  0.867609  1.559486  1.11266E-09  1.45078E-09  1.49208E-09
 hf  72   1.885131  1.175131  1.867007  9.60601E-09  1.27063E-08  1.28817E-08
 ta  73   0.978392  1.098392  1.790268  1.20710E-09  1.59239E-09  1.61872E-09
  w  74   1.821573  1.171573  1.863450  8.54696E-09  1.13041E-08  1.14615E-08
 re  75   0.890794  0.630794  1.322670  1.01528E-09  1.29649E-09  1.36150E-09
 os  76   1.833347  0.483347  1.175224  9.08709E-09  1.13689E-08  1.21858E-08
 ir  77   1.111764 -0.208236  0.483640  1.74322E-09  1.56714E-09  2.33766E-09
 pt  78   1.824573  0.204573  0.896449  9.13228E-09  1.07981E-08  1.22464E-08
 au  79   1.045604  0.245604  0.937480  1.53389E-09  1.81851E-09  2.05695E-09
 hg  80   2.308043  1.138044  1.829920  2.85858E-08  3.78043E-08  3.83336E-08
 tl  81   1.975693  1.205693  1.897569  1.35499E-08  1.79395E-08  1.81704E-08
 pb  82   3.684544  1.644544  2.336420  7.02637E-07  9.37878E-07  9.42237E-07
 bi  83   1.638326  0.988326  1.680202  6.37131E-09  8.36483E-09  8.54393E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.7535   1.0980   1.8337   0.7357   0.5027
# Initial mass = 2.000, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.659, Mass expelled =   1.3410
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.06606E-01 -6.24086E-02  9.47559E-01
 he   2  11.007096  0.077096  0.769786  2.85232E-01  4.70099E-02  3.82497E-01
  c   6   9.061618  0.591618  1.284307  9.70318E-03  1.23319E-02  1.30120E-02
  n   7   7.602188 -0.267812  0.424878  3.92871E-04  3.27618E-04  5.26840E-04
  o   8   8.145969 -0.584030  0.108660  1.56957E-03  4.78468E-04  2.10479E-03
  f   9   5.112539  0.652539  1.345229  1.72569E-06  2.20903E-06  2.31416E-06
 ne  10   8.015235  0.045235  0.737925  1.46512E-03  1.60339E-03  1.96473E-03
 na  11   6.157635 -0.152365  0.540325  2.31681E-05  2.20623E-05  3.10685E-05
 mg  12   6.991935 -0.648065  0.044625  1.67243E-04  2.07188E-05  2.24273E-04
 al  13   5.828186 -0.641814  0.050876  1.27343E-05  1.79885E-06  1.70768E-05
 si  14   6.861178 -0.688822  0.003868  1.43016E-04  5.88057E-07  1.91785E-04
  p  15   4.860697 -0.609303  0.083387  1.57547E-06  3.58882E-07  2.11271E-06
  s  16   6.468551 -0.691449  0.001241  6.61148E-05 -2.64190E-07  8.86599E-05
 cl  17   4.571251 -0.658749  0.033941  9.26021E-07  8.66386E-08  1.24179E-06
 ar  18   5.746913 -0.693087 -0.000397  1.56360E-05 -1.41628E-07  2.09678E-05
  k  19   4.399309 -0.680691  0.011999  6.87355E-07  2.10657E-08  9.21743E-07
 ca  20   5.596477 -0.693523 -0.000834  1.10943E-05 -1.15261E-07  1.48774E-05
 sc  21   2.448750 -0.601249  0.091440  8.85635E-09  2.19860E-09  1.18764E-08
 ti  22   4.242069 -0.667931  0.024759  5.85899E-07  3.91983E-08  7.85690E-07
  v  23   3.265142 -0.694858 -0.002168  6.57560E-08 -7.36541E-10  8.81788E-08
 cr  24   4.929758 -0.710242 -0.017552  3.10059E-06 -7.61020E-09  4.15789E-06
 mn  25   4.802764 -0.677236  0.015454  2.44542E-06  9.60922E-08  3.27931E-06
 fe  26   6.847310 -0.692690  0.000000  2.75430E-04 -2.15921E-06  3.69352E-04
 co  27   4.302352 -0.567647  0.125042  8.28759E-07  2.73171E-07  1.11137E-06
 ni  28   5.515285 -0.684714  0.007976  1.34769E-05  2.24976E-07  1.80725E-05
 cu  29   3.723302 -0.526698  0.165992  2.35563E-07  9.90814E-08  3.15890E-07
 zn  30   4.026024 -0.603976  0.088714  4.86832E-07  1.17501E-07  6.52842E-07
 ga  31   2.725253 -0.354747  0.337943  2.59625E-08  1.87328E-08  3.48157E-08
 ge  32   3.220879 -0.359121  0.333569  8.46782E-08  6.45993E-08  1.13553E-07
 as  33   1.861815 -0.438184  0.254505  3.82069E-09  2.25545E-09  5.12355E-09
 se  34   3.120102 -0.219898  0.472792  7.29837E-08  6.79161E-08  9.78711E-08
 br  35   2.299309 -0.240691  0.451999  1.11582E-08  9.64740E-09  1.49632E-08
 kr  36   3.223558 -0.026442  0.666248  9.82899E-08  1.03320E-07  1.31807E-07
 rb  37   2.339071 -0.020929  0.671761  1.30795E-08  1.37830E-08  1.75397E-08
 sr  38   3.469717  0.589717  1.282407  1.81150E-07  2.30241E-07  2.42922E-07
  y  39   2.846246  0.676246  1.368936  4.37415E-08  5.61343E-08  5.86574E-08
 zr  40   3.240690  0.710690  1.403380  1.11305E-07  1.43330E-07  1.49261E-07
 nb  41   2.041719  0.631719  1.324409  7.16937E-09  9.15593E-09  9.61412E-09
 mo  42   2.479313  0.539313  1.232003  2.02782E-08  2.59803E-08  2.71931E-08
 ru  44   2.201092  0.441092  1.133782  1.12572E-08  1.42705E-08  1.50959E-08
 rh  45   1.156049  0.096049  0.788739  1.03325E-09  1.15890E-09  1.38559E-09
 pd  46   2.201314  0.551314  1.244004  1.18592E-08  1.51073E-08  1.59032E-08
 ag  47   1.416355  0.216355  0.909045  1.97226E-09  2.31680E-09  2.64481E-09
 cd  48   2.379071  0.669071  1.361761  1.88624E-08  2.42851E-08  2.52945E-08
 in  49   1.244020  0.484020  1.176710  1.41172E-09  1.77178E-09  1.89311E-09
 sn  50   2.819460  0.749460  1.442150  5.49116E-08  7.13189E-08  7.36365E-08
 sb  51   1.305803  0.295803  0.988493  1.72594E-09  2.17772E-09  2.31448E-09
 te  52   2.428261  0.248261  0.940951  2.39789E-08  3.08925E-08  3.21557E-08
  i  53   1.367290 -0.182710  0.509979  2.07244E-09  1.91525E-09  2.77914E-09
 xe  54   2.568239  0.328239  1.020929  3.40563E-08  4.16503E-08  4.56696E-08
 cs  55   1.385935  0.305935  0.998625  2.26566E-09  2.73167E-09  3.03824E-09
 ba  56   3.427861  1.247861  1.940551  2.57831E-07  3.41772E-07  3.45751E-07
 la  57   2.439198  1.269199  1.961888  2.67693E-08  3.55038E-08  3.58976E-08
 ce  58   2.966451  1.386451  2.079141  9.09192E-08  1.20905E-07  1.21923E-07
 pr  59   1.928181  1.168181  1.860871  8.37208E-09  1.10714E-08  1.12270E-08
 nd  60   2.733131  1.283131  1.975821  5.46933E-08  7.26074E-08  7.33437E-08
 sm  62   1.941510  1.001510  1.694200  9.21212E-09  1.21671E-08  1.23535E-08
 eu  63   0.878829  0.368829  1.061519  8.05911E-10  9.86379E-10  1.08073E-09
 gd  64   1.790339  0.740339  1.433028  6.80217E-09  8.78319E-09  9.12170E-09
 tb  65   0.775956  0.455956  1.148646  6.65068E-10  8.28149E-10  8.91856E-10
 dy  66   1.923389  0.793389  1.486079  9.54905E-09  1.23853E-08  1.28053E-08
 ho  67   0.907971  0.437971  1.130661  9.35381E-10  1.16096E-09  1.25435E-09
 er  68   1.771798  0.851798  1.544488  6.93274E-09  9.03453E-09  9.29681E-09
 tm  69   0.825368  0.705368  1.398058  7.92140E-10  1.01953E-09  1.06226E-09
 yb  70   2.088959  1.168959  1.861649  1.48875E-08  1.97242E-08  1.99642E-08
 lu  71   1.138591  1.048591  1.741281  1.68758E-09  2.22175E-09  2.26305E-09
 hf  72   2.083192  1.373192  2.065882  1.51538E-08  2.01460E-08  2.03213E-08
 ta  73   1.168404  1.288404  1.981094  1.86928E-09  2.48037E-09  2.50671E-09
  w  74   2.020607  1.370607  2.063297  1.35134E-08  1.79641E-08  1.81215E-08
 re  75   1.087425  0.827425  1.520115  1.59639E-09  2.07574E-09  2.14075E-09
 os  76   2.020614  0.670614  1.363304  1.39833E-08  1.79347E-08  1.87516E-08
 ir  77   1.256904 -0.063096  0.629593  2.43452E-09  2.49417E-09  3.26469E-09
 pt  78   2.005076  0.385076  1.077766  1.38357E-08  1.71054E-08  1.85537E-08
 au  79   1.225365  0.425365  1.118055  2.31993E-09  2.87258E-09  3.11103E-09
 hg  80   2.514159  1.344159  2.036849  4.59394E-08  6.10755E-08  6.16048E-08
 tl  81   2.205218  1.435218  2.127908  2.29816E-08  3.05875E-08  3.08184E-08
 pb  82   4.007083  1.967083  2.659773  1.47635E-06  1.97543E-06  1.97979E-06
