# Units are Msun
# M_init	C12	C13	C14	
8	0	0	0	
13	3.2e-01	1.1e-03	9.9e-06	
15	4.2e-01	1.2e-03	2.4e-05	
20	7.9e-01	3.1e-03	1.1e-05	
25	1.1e+00	3.7e-03	3.1e-05	
30	1.1e+00	4.0e-03	4.2e-05	
40	2.0e+00	7.2e-03	2.5e-05	
60	3.6e+00	6.6e-03	1.8e-06	
80	4.8e+00	3.7e-03	1.1e-06	
120	4.6e+00	2.2e-03	9.7e-07	
