-0.965 -0.534 10.0500 0.0500
-0.516 -0.393  9.9000 0.2100
-0.365 -0.302  9.5500 0.0500
-0.301 -0.263  9.5500 0.0500
-0.257 -0.223  9.6000 0.0500
-0.223 -0.194  9.5000 0.1700
-0.190 -0.160  9.7000 0.3100
-0.157 -0.126  9.6000 0.3700
-0.125 -0.094  9.4000 0.2500
-0.092 -0.063  9.4000 0.3100
-0.061 -0.031  9.3000 0.3100
-0.029  0.000  9.1500 0.3700
 0.001  0.032  9.2500 0.4100
 0.032  0.063  9.0000 0.3500
 0.064  0.095  9.1000 0.3100
 0.096  0.126  9.4000 0.3300
 0.126  0.156  9.2500 0.3300
 0.158  0.186  9.1000 0.3300
 0.188  0.218  9.3000 0.2700
 0.219  0.242  9.3500 0.3100
 0.251  0.280  9.2000 0.3700
 0.283  0.313  9.4000 0.4900
 0.318  0.347  9.5000 0.3700
 0.349  0.488  9.4000 0.3700
