-0.626 -0.345  9.8500 0.2100
-0.342 -0.271  9.5500 0.0500
-0.271 -0.239  9.5500 0.0500
-0.236 -0.205  9.5500 0.2700
-0.204 -0.174  9.4500 0.3100
-0.172 -0.141  9.4000 0.2900
-0.139 -0.108  9.3000 0.4500
-0.105 -0.073  9.3000 0.3700
-0.072 -0.041  9.2000 0.3900
-0.040 -0.009  9.1500 0.4300
-0.008  0.024  9.1500 0.3500
 0.025  0.056  9.2500 0.4100
 0.057  0.089  9.3000 0.3100
 0.090  0.122  9.2500 0.3500
 0.123  0.154  9.3500 0.2900
 0.156  0.187  9.3500 0.3100
 0.188  0.220  9.3500 0.4700
 0.221  0.250  9.4000 0.2700
 0.259  0.290  9.6000 0.0500
 0.292  0.362  9.7000 0.4300
