# dSph	Name	RAJ200 (h:m:s)	DEJ200 (d:m:s)	Vmag	Imag	Teff	logg	[Fe/H]	err([Fe/H])	[Mg/Fe]	err([Mg/Fe])	[Si/Fe]	err([Si/Fe])	[Ca/Fe]	err([Ca/Fe])	[Ti/Fe]	err([Ti/Fe])
Scl   1002473    00 59 21.58 -33 42 57.9 19.492 18.585 5085  2.02 -2.30  0.15  0.65  0.93  0.59  0.17  0.64  0.26  0.26  0.48
Scl   1002447    00 59 21.66 -33 41 01.6 18.084 17.015 4689  1.27 -2.04  0.12  0.36  0.28  0.47  0.12  0.33  0.16  0.28  0.09
Scl   1003386    00 59 26.87 -33 40 28.9 18.658 17.586 4660  1.49 -1.30  0.11 -0.50  0.44  0.21  0.23  0.14  0.16  0.03  0.21
Scl   1003505    00 59 27.13 -33 43 42.1 17.614 16.355 4366  0.88 -1.82  0.11  0.26  0.19  0.20  0.14  0.20  0.14  0.00  0.10
Scl   1003443    00 59 27.34 -33 38 47.3 18.009 16.954 4732  1.26 -1.62  0.11  0.51  0.34  0.06  0.16  0.20  0.18  0.05  0.11
Scl   1003537    00 59 27.69 -33 40 35.4 17.095 15.726 4259  0.58 -2.28  0.11  0.42  0.21  0.40  0.12  0.34  0.14  0.20  0.09
Scl   1003694    00 59 28.30 -33 42 07.2 16.969 15.405 3923  0.32 -1.63  0.11  0.09  0.17  0.10  0.11  0.03  0.14 -0.10  0.08
Scl   1004135    00 59 30.62 -33 42 06.7 18.679 17.615 4656  1.51 -2.09  0.12  0.32  0.40  0.27  0.19  0.30  0.22  0.10  0.10
Scl   1004448    00 59 32.78 -33 36 10.9 18.478 17.405 4687  1.42 -1.84  0.12  0.42  0.41  0.17  0.30  0.57  0.27  0.00  0.88
Scl   1004645    00 59 33.64 -33 37 54.2 19.308 18.252 4660  1.76 -1.22  0.12 -0.05  0.51  0.43  0.18  0.27  0.34 -0.09  0.19
Scl   1004711    00 59 33.79 -33 39 26.9 19.186 18.158 4676  1.75 -2.47  0.15  0.77  0.92  0.96  0.26  0.56  0.32  0.31  0.36
Scl   1004838    00 59 34.09 -33 43 51.3 18.746 17.650 4564  1.49 -1.59  0.11  0.22  0.22  0.23  0.22  0.24  0.18  0.00  0.09
Scl   1004861    00 59 34.24 -33 43 18.7 19.045 18.054 4866  1.74 -1.70  0.12  0.31  0.29  0.20  0.16  0.50  0.18  0.20  0.14
Scl   1005103    00 59 35.37 -33 44 09.2 17.240 15.668 3818  0.39 -1.22  0.11 -0.31  0.22 -0.33  0.20 -0.28  0.14 -0.53  0.09
Scl   1005366    00 59 36.96 -33 41 55.7 18.015 16.791 4420  1.07 -1.38  0.11  0.05  0.17 -0.03  0.15 -0.05  0.13 -0.17  0.11
Scl   1005429    00 59 37.10 -33 43 06.2 18.196 17.139 4702  1.33 -2.58  0.12  0.51  0.60  0.60  0.12  0.51  0.15  0.39  0.10
Scl   1005527    00 59 37.57 -33 43 33.3 17.942 16.734 4468  1.06 -1.28  0.11  0.00  0.11 -0.04  0.12  0.28  0.17 -0.15  0.09
Scl   1005565    00 59 38.05 -33 40 32.2 17.708 16.443 4329  0.91 -1.81  0.11 -0.08  0.34  0.34  0.14  0.26  0.23  0.10  0.10
Scl   1005745    00 59 38.40 -33 45 10.5 17.396 16.040 4213  0.69 -1.59  0.11 -0.06  0.66 -0.03  0.14  0.10  0.12 -0.01  0.22
Scl   1005765    00 59 38.64 -33 43 59.4 19.252 18.229 4729  1.78 -1.76  0.12  0.66  0.26  0.25  0.19  0.13  0.20 -0.05  0.32
Scl   1005651    00 59 38.94 -33 36 13.5 18.355 17.160 4439  1.23 -1.46  0.11  0.25  0.26  0.04  0.15  0.24  0.17  0.05  0.09
Scl   1005983    00 59 40.31 -33 39 44.8 19.042 17.978 4668  1.65 -1.79  0.12  0.60  0.32  0.46  0.16  0.71  0.29  0.35  0.12
Scl   1005921    00 59 40.33 -33 36 06.4 17.423 16.092 4258  0.73 -1.59  0.11  0.13  0.20  0.10  0.12  0.10  0.16  0.08  0.08
Scl   1005940    00 59 40.46 -33 35 53.8 17.639 16.427 4385  0.94 -2.51  0.12  0.40  0.33  0.73  0.14  0.59  0.19  0.40  0.14
Scl   1006107    00 59 40.70 -33 41 16.6 18.600 17.557 4598  1.50 -2.20  0.12  0.65  0.28  0.16  0.27  0.30  0.16  0.25  0.13
Scl   1006118    00 59 40.77 -33 41 29.3 19.692 18.728 4976  2.03 -2.44  0.15  1.00  0.65  0.84  0.29  0.20  0.68  0.65  0.27
Scl   1006511    00 59 43.23 -33 37 01.5 19.570 18.586 4777  1.96 -1.37  0.12  0.28  0.37  0.10  0.24 -0.04  0.35 -0.22  0.33
Scl   1007039    00 59 44.73 -33 49 12.8 17.813 16.636 4452  1.05 -2.00  0.11 -0.43  0.69  0.48  0.12  0.22  0.18  0.10  0.09
Scl   1007034    00 59 45.32 -33 43 53.6 17.869 16.689 4578  1.06 -1.85  0.11  0.14  0.27  0.20  0.16  0.15  0.13 -0.10  0.20
Scl   1007123    00 59 45.75 -33 43 38.3 19.981 19.045 5103  2.18 -1.05  0.12 -0.27  0.51  0.18  0.13  0.08  0.19  0.10  0.17
Scl   1007263    00 59 46.08 -33 46 59.7 19.766 18.826 5075  2.09 -1.44  0.12  0.43  0.31 -0.31  0.37 -0.09  0.25 -0.19  0.27
Scl   1007179    00 59 46.14 -33 41 58.5 19.824 18.860 4817  2.09 -1.85  0.13  0.59  0.54  0.30  0.28  0.00  0.21 -0.19  0.40
Scl   1007312    00 59 46.16 -33 48 38.9 17.557 16.270 4360  0.83 -1.53  0.11  0.16  0.15 -0.01  0.12  0.05  0.15  0.00  0.09
Scl   1007219    00 59 46.29 -33 43 09.9 20.068 19.154 5038  2.24 -1.17  0.12 -0.09  0.48 -0.20  0.15 -0.40  0.26 -0.43  0.15
Scl   1007217    00 59 46.52 -33 40 45.0 18.512 17.435 4653  1.43 -1.71  0.12  0.11  0.50  0.38  0.15  0.18  0.21 -0.51  0.32
Scl   1007258    00 59 46.83 -33 39 50.2 18.237 17.071 4457  1.22 -1.68  0.11  0.21  0.29  0.31  0.15 -0.06  0.46  0.12  0.11
Scl   1007349    00 59 46.90 -33 43 45.6 18.204 17.037 4485  1.20 -1.40  0.11 -0.06  0.24  0.15  0.12  0.09  0.12  0.08  0.09
Scl   1007490    00 59 47.26 -33 46 30.3 17.454 16.063 3912  0.67 -1.26  0.11 -0.25  0.20 -0.26  0.16 -0.17  0.14 -0.64  0.09
Scl   1007618    00 59 47.67 -33 47 29.2 17.744 16.426 4249  0.86 -1.09  0.11 -0.20  0.22 -0.47  0.16 -0.04  0.14 -0.47  0.09
Scl   1007750    00 59 48.86 -33 42 17.7 18.067 16.887 4512  1.14 -1.30  0.11 -0.08  0.44 -0.13  0.16  0.02  0.21 -0.10  0.09
Scl   1007749    00 59 49.07 -33 40 16.9 19.887 18.943 4970  2.14 -1.08  0.13  0.10  0.39  0.31  0.26 -0.11  0.98  0.10  0.24
Scl   1007842    00 59 49.10 -33 44 04.6 18.067 16.885 4493  1.13 -1.95  0.11  0.56  0.16  0.50  0.11  0.30  0.12  0.20  0.09
Scl   1007815    00 59 49.29 -33 41 17.1 18.836 17.771 4701  1.56 -1.28  0.12 -0.01  0.36 -0.22  0.29  0.03  0.19 -0.14  0.14
Scl   1200017    00 59 49.57 -33 37 52.4 18.849 17.804 4712  1.60 -2.20  0.12  0.52  0.60  0.48  0.43  0.48  0.16  0.54  0.17
Scl   1008226    00 59 50.21 -33 51 23.3 19.782 18.765 4722  2.01 -1.95  0.13  0.15  0.99  0.37  0.28 -0.69  0.54 -0.17  0.34
Scl   1007989    00 59 50.42 -33 38 04.0 19.813 18.884 4858  2.12 -1.31  0.12  0.10  0.19  0.61  0.19 -0.02  0.65 -0.21  0.27
Scl   1008035    00 59 50.81 -33 36 20.5 18.351 17.185 4527  1.26 -1.13  0.11  0.00  0.24 -0.14  0.14 -0.05  0.14 -0.30  0.10
Scl   1008328    00 59 51.00 -33 48 54.8 18.053 16.933 4554  1.20 -2.30  0.12  0.79  0.16  0.40  0.22  0.29  0.13  0.22  0.15
Scl   1008505    00 59 51.90 -33 47 43.3 17.984 16.760 4476  1.06 -1.13  0.11 -0.12  0.20 -0.30  0.13 -0.02  0.14 -0.30  0.10
Scl   1008349    00 59 51.90 -33 41 45.8 18.732 17.578 4547  1.42 -1.02  0.11  0.13  0.22 -0.10  0.16  0.27  0.22 -0.13  0.14
Scl   1008361    00 59 52.12 -33 40 21.4 19.170 18.170 4803  1.78 -1.57  0.12  0.45  0.44  0.29  0.21  0.25  0.21  0.00  0.58
Scl   1008522    00 59 52.28 -33 44 54.5 17.150 15.743 4179  0.55 -2.06  0.11  0.29  0.16  0.30  0.11  0.14  0.13  0.08  0.08
