# Units are Msun
# M_init	Y89	
8	0	
13	1.3e-07	
15	1.5e-07	
20	2.3e-07	
25	3.9e-07	
30	5.8e-07	
40	8.1e-07	
60	1.1e-06	
80	1.7e-06	
120	2.7e-06	
