# Units are Msun
# M_init	S32	S33	S34	S36	
8	0	0	0	0	
13	2.6e-02	1.5e-04	1.0e-03	9.8e-07	
15	4.2e-02	1.8e-04	7.8e-04	1.8e-06	
20	6.3e-02	3.4e-04	2.1e-03	3.5e-06	
25	6.3e-02	4.5e-04	2.6e-03	5.9e-06	
30	1.0e-01	7.8e-04	4.3e-03	7.5e-06	
40	1.5e-01	9.4e-04	5.5e-03	1.2e-05	
60	2.0e-01	1.4e-03	7.1e-03	1.5e-05	
80	3.0e-01	1.9e-03	1.0e-02	1.8e-05	
120	4.5e-01	2.5e-03	1.4e-02	2.1e-05	
