h1                           * symbol name            
  0.0000E+00                 * metallicity
  7.0000E-01  0.0000E+00    
  1.0000E+00  3.0427E-01
  1.5000E+00  5.7233E-01
  1.7500E+00  7.1282E-01
  2.0000E+00  8.5206E-01
  2.5000E+00  1.1283E+00
  3.0000E+00  1.3799E+00
  4.0000E+00  1.7835E+00
  5.0000E+00  2.3226E+00
  6.0000E+00  2.9375E+00
  7.0000E+00  3.5518E+00
  8.0000E+00  4.1669E+00
  1.0000E+01  5.3767E+00
  1.1065E+01  5.8950E+00    
  1.2065E+01  6.3950E+00
  1.3071E+01  6.8340E+00
  1.5081E+01  7.6940E+00
  1.8098E+01  8.8520E+00
  1.9000E+01  9.2080E+00
  2.0109E+01  9.5640E+00
  2.2119E+01  1.0220E+01
  2.5136E+01  1.1360E+01
  3.0163E+01  1.2750E+01
  3.5190E+01  1.4250E+01
  4.0217E+01  1.5210E+01
  1.9000E-06                 * metallicity
  7.0000E-01  0.0000E+00    
  1.0000E+00  3.0427E-01
  1.5000E+00  5.7233E-01
  1.7500E+00  7.1282E-01
  2.0000E+00  8.5206E-01
  2.5000E+00  1.1283E+00
  3.0000E+00  1.3799E+00
  4.0000E+00  1.7835E+00
  5.0000E+00  2.3226E+00
  6.0000E+00  2.9375E+00
  7.0000E+00  3.5518E+00
  8.0000E+00  4.1669E+00
  1.0000E+01  5.3767E+00
  1.1065E+01  5.7930E+00    
  1.2065E+01  6.3930E+00
  1.3071E+01  6.8210E+00
  1.5081E+01  7.6370E+00
  1.8098E+01  8.7970E+00
  1.9000E+01  9.2970E+00
  2.0109E+01  9.2170E+00
  2.2119E+01  9.9510E+00
  2.5136E+01  1.0680E+01
  3.0163E+01  1.1960E+01
  3.5190E+01  1.3150E+01
  4.0217E+01  1.4340E+01
  1.9000E-04                 * metallicity
  7.0000E-01  0.0000E+00    
  1.0000E+00  2.9143E-01
  1.5000E+00  5.4657E-01
  1.7500E+00  6.8251E-01
  2.0000E+00  8.1928E-01
  2.5000E+00  1.0870E+00
  3.0000E+00  1.3433E+00
  4.0000E+00  1.8261E+00
  5.0000E+00  2.2338E+00
  6.0000E+00  2.7894E+00
  7.0000E+00  3.4421E+00
  8.0000E+00  4.0151E+00
  1.0000E+01  5.3496E+00
  1.1065E+01  5.6010E+00    
  1.2065E+01  6.3010E+00
  1.3071E+01  6.7130E+00
  1.5081E+01  7.4850E+00
  1.8098E+01  8.5660E+00
  1.9098E+01  9.2660E+00
  2.0109E+01  9.0750E+00
  2.2119E+01  9.6730E+00
  2.5136E+01  1.0420E+01
  3.0163E+01  1.1610E+01
  3.5190E+01  1.2830E+01
  4.0217E+01  1.3670E+01
  1.9000E-03                 * metallicity
  7.0000E-01  0.0000E+00    
  1.0000E+00  2.9143E-01
  1.5000E+00  5.4657E-01
  1.7500E+00  6.8251E-01
  2.0000E+00  8.1928E-01
  2.5000E+00  1.0870E+00
  3.0000E+00  1.3433E+00
  4.0000E+00  1.8261E+00
  5.0000E+00  2.2338E+00
  6.0000E+00  2.7894E+00
  7.0000E+00  3.4421E+00
  8.0000E+00  4.0151E+00
  1.0000E+01  5.3496E+00
  1.1065E+01  5.2620E+00    
  1.2065E+01  6.2620E+00
  1.3071E+01  6.6670E+00
  1.5081E+01  7.4170E+00
  1.8098E+01  8.3580E+00
  1.9109E+01  7.9530E+00
  2.0109E+01  8.9530E+00
  2.2119E+01  9.4400E+00
  2.5136E+01  1.0350E+01
  3.0163E+01  1.1430E+01
  3.5190E+01  1.2360E+01
  4.0217E+01  1.3300E+01
  1.9000E-02                 * metallicity
  7.0000E-01  0.0000E+00    
  1.0000E+00  2.9143E-01
  1.5000E+00  5.4657E-01
  1.7500E+00  6.8251E-01
  2.0000E+00  8.1928E-01
  2.5000E+00  1.0870E+00
  3.0000E+00  1.3433E+00
  4.0000E+00  1.8261E+00
  5.0000E+00  2.2338E+00
  6.0000E+00  2.7894E+00
