# Units are Msun
# M_init	ge64	ge65	ge66	ge67	ge68	ge69	ge70	ge71	ge72	ge73	ge74	ge75	ge76	ge77	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	3.3831e-39	3.1261e-39	1.2152e-06	1.0144e-14	1.3512e-07	2.1906e-08	2.3757e-05	2.5471e-06	2.1108e-05	5.8600e-06	3.0233e-05	1.7919e-08	5.1290e-06	1.5890e-07	
15	7.2338e-33	4.6150e-34	2.1130e-14	4.3817e-18	8.5531e-08	2.3108e-08	4.4915e-05	5.3482e-06	5.1183e-05	1.2911e-05	7.3346e-05	3.0156e-08	3.2943e-06	4.4230e-08	
20	1.9972e-32	2.2112e-31	9.9599e-07	8.4980e-15	7.7048e-08	1.8472e-08	7.6476e-05	9.1961e-06	1.0424e-04	1.6976e-05	1.0644e-04	4.8612e-08	5.8362e-05	1.4799e-05	
25	7.5120e-32	1.6116e-31	1.0154e-06	2.6572e-14	4.2153e-07	4.5018e-08	8.3740e-05	4.2060e-06	8.2419e-05	1.8032e-05	9.2929e-05	3.6694e-08	9.7235e-06	5.3056e-08	
30	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.1242e-07	4.5645e-32	1.2202e-06	3.4748e-07	1.6671e-06	0.0000e+00	3.5498e-07	0.0000e+00	
40	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2753e-06	4.7510e-32	1.6973e-06	4.8364e-07	2.3268e-06	0.0000e+00	4.9359e-07	0.0000e+00	
60	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.1057e-06	1.1941e-32	2.8099e-06	8.0106e-07	3.8507e-06	0.0000e+00	8.1810e-07	0.0000e+00	
80	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.0593e-06	1.4184e-32	4.0611e-06	1.1555e-06	5.5524e-06	0.0000e+00	1.1779e-06	0.0000e+00	
120	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.9277e-06	1.6602e-32	6.5886e-06	1.8747e-06	8.9817e-06	0.0000e+00	1.9144e-06	0.0000e+00	
