# Units are Msun
# M_init	ge64	ge65	ge66	ge67	ge68	ge69	ge70	ge71	ge72	ge73	ge74	ge75	ge76	ge77	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	5.0278e-28	6.9249e-36	1.4284e-06	8.8886e-15	8.1583e-09	6.5238e-12	6.5455e-10	5.9996e-12	7.3142e-10	2.0238e-10	9.7744e-10	2.1242e-14	2.0659e-10	2.9863e-14	
15	7.0870e-29	5.4216e-36	1.0474e-06	1.0857e-14	7.9504e-07	4.6207e-10	2.4818e-09	2.0902e-11	8.1138e-10	2.2744e-10	1.0991e-09	6.9285e-14	2.3089e-10	6.2600e-14	
20	2.8917e-28	9.7129e-38	1.3402e-06	6.2764e-15	9.1689e-09	7.7000e-12	1.0693e-09	2.0340e-11	1.1504e-09	3.3448e-10	1.5867e-09	9.9272e-14	3.2156e-10	2.8469e-14	
25	1.4396e-29	1.1120e-37	8.4379e-07	7.5486e-15	9.8236e-07	7.9908e-10	4.3194e-09	5.3198e-11	1.4367e-09	4.2130e-10	1.9838e-09	2.4411e-13	3.9355e-10	8.0962e-14	
30	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.6292e-13	0.0000e+00	1.3088e-12	3.7248e-13	1.7721e-12	0.0000e+00	3.8176e-13	0.0000e+00	
40	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.5329e-12	0.0000e+00	2.0837e-12	5.9297e-13	2.8211e-12	0.0000e+00	6.0775e-13	0.0000e+00	
60	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.7462e-12	0.0000e+00	3.7328e-12	1.0623e-12	5.0541e-12	0.0000e+00	1.0888e-12	0.0000e+00	
80	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.7449e-12	0.0000e+00	6.4495e-12	1.8354e-12	8.7323e-12	0.0000e+00	1.8812e-12	0.0000e+00	
120	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.6367e-11	0.0000e+00	2.2247e-11	6.3310e-12	3.0121e-11	0.0000e+00	6.4890e-12	0.0000e+00	
