#Z=0.002
#M/Msun    H        He4       Li7       C12       C13       N14       O16       O17       O18        NE20      NE22     NA23      MG24       MG25      MG26      AL27      SI28     Mf
  init   0.748      0.25      1e-8    1.70e-4   1.90e-6   4.98e-5   1.16e-3   4.04e-7   2.26e-6    2.56e-4   1.88e-5   2.06e-6   9.94e-5   7.04e-6   8.06e-6   3.56e-6   1.09e-4  
  7.50 -7.11e-01  7.11e-01 -2.65e-08 -8.84e-04  2.81e-05  4.09e-03 -3.19e-03  2.32e-05 -1.37e-05   6.23e-05 -1.11e-04  8.29e-05 -5.07e-04  4.89e-04 -1.80e-05  5.51e-05  1.41e-05  1.30  
  7.00 -6.40e-01  6.40e-01 -5.40e-08 -8.24e-04  2.71e-05  4.63e-03 -4.10e-03  1.54e-05 -1.30e-05   6.87e-05 -1.07e-04  4.29e-05 -5.19e-04  4.57e-04 -1.66e-05  9.33e-05  1.91e-05  1.21
  6.50 -5.96e-01  5.96e-01 -4.96e-08 -7.65e-04  2.45e-05  4.42e-03 -4.04e-03  1.23e-05 -1.20e-05   6.02e-05 -9.90e-05  3.21e-05 -4.88e-04  4.11e-04 -1.46e-05  1.04e-04  1.92e-05  1.13  
  6.00 -5.45e-01  5.45e-01 -4.65e-08 -6.61e-04  2.88e-05  4.47e-03 -3.96e-03  9.30e-06 -1.11e-05   5.98e-05 -9.01e-05  2.84e-05 -4.59e-04  3.70e-04 -9.29e-06  1.15e-04  1.64e-05  1.04
  5.00 -3.69e-01  3.68e-01 -3.80e-08 -5.06e-04  2.80e-05  4.39e-03 -3.50e-03  4.45e-06 -9.10e-06   4.58e-05 -7.32e-05  3.10e-05 -3.54e-04  2.57e-04 -9.27e-08  1.15e-04  8.63e-06  0.95
  4.50 -2.77e-01  2.75e-01 -3.26e-08 -3.85e-04  3.28e-05  4.57e-03 -2.87e-03  4.10e-06 -8.01e-06   3.83e-05 -6.38e-05  5.10e-05 -2.72e-04  2.09e-04  1.31e-06  8.30e-05  4.43e-06  0.92
  4.00 -1.84e-01  1.81e-01 -2.67e-08 -1.81e-04  4.27e-05  5.11e-03 -1.81e-03  4.98e-06 -6.87e-06   2.14e-05 -5.20e-05  7.40e-05 -1.32e-04  1.15e-04  1.05e-06  3.49e-05  2.68e-06  0.89
  3.50 -9.26e-02  8.80e-02 -2.00e-08  4.77e-05  4.45e-05  4.93e-03 -5.25e-04  6.01e-06 -5.64e-06   4.62e-06 -3.67e-05  8.13e-05 -2.15e-05  2.50e-05  2.02e-06  9.51e-06  2.57e-06  0.87
  3.00 -4.55e-02  2.87e-02 -1.41e-08  2.26e-03  3.07e-04  1.10e-02  2.87e-03  9.26e-06 -4.27e-06   4.43e-05  9.90e-05  1.18e-04 -2.52e-06  7.66e-05  2.53e-05  4.03e-05  4.95e-06  0.81
  2.50 -6.21e-02  4.11e-02 -1.79e-08  1.72e-02  5.10e-06  2.74e-04  3.06e-03  1.01e-05 -1.58e-06   1.89e-05  3.30e-04  9.81e-06 -3.14e-06  5.64e-05  2.36e-05  2.48e-05  1.12e-06  0.70
  2.25 -6.94e-02  4.64e-02 -1.58e-08  1.91e-02  4.44e-06  2.36e-04  3.07e-03  1.03e-05 -1.41e-06   1.25e-05  4.62e-04  9.49e-06 -1.82e-06  3.88e-05  2.08e-05  1.30e-05  3.07e-07  0.66
  2.00 -5.51e-02  3.62e-02 -1.38e-08  1.53e-02  3.89e-06  1.68e-04  3.06e-03  1.14e-05 -1.16e-06   4.97e-06  3.78e-04  8.01e-06 -3.48e-07  1.68e-05  1.08e-05  4.84e-06  9.57e-08  0.62
  1.75 -3.69e-02  2.96e-02 -3.54e-12  6.53e-03 -1.56e-06  1.45e-04  5.20e-04  7.59e-07 -1.23e-07  -1.93e-07  9.51e-05  1.31e-06 -3.54e-07  2.22e-06  1.60e-06  1.11e-06  3.50e-08  0.64
  1.50 -2.97e-02  2.37e-02 -2.62e-12  5.35e-03 -1.20e-06  1.18e-04  4.29e-04  8.09e-07 -1.11e-07  -3.77e-07  6.54e-05  1.17e-06 -1.06e-07  9.75e-07  7.68e-07  6.62e-07  2.23e-08  0.62
  1.25 -1.72e-02  1.54e-02 -2.14e-12  1.60e-03 -8.57e-07  8.78e-05  1.30e-04  5.88e-07 -7.35e-08  -2.22e-07  1.33e-05  5.63e-07  1.35e-08  7.94e-08  7.88e-08  1.91e-07  5.87e-09  0.58
