#Z=0.014
#M/Msun    H        He4       Li7       C12       C13       N14       O16       O17       O18        NE20      NE22     NA23      MG24       MG25      MG26      AL27      SI28     Mf
  init   0.718     0.268     1e-8     2.33e-3   2.85e-4   7.48e-4   6.19e-3   2.45e-6   1.32e-5    1.18e-3   9.55e-5   3.62e-5   5.31e-4   7.00e-5   8.01e-5   6.14e-5   7.69e-4
  8.50 -7.50e-01  7.48e-01  3.54e-07 -1.47e-02 -1.51e-03  2.96e-02 -1.18e-02  1.63e-04 -9.29e-05   8.14e-05 -4.19e-04  6.17e-04 -1.16e-03  1.10e-03  3.58e-05  7.53e-05  7.90e-05  1.32
  8.00 -6.54e-01  6.53e-01  1.13e-07 -1.43e-02 -1.57e-03  2.90e-02 -1.23e-02  1.57e-04 -8.79e-05   4.83e-05 -5.65e-04  5.21e-04 -8.71e-04  8.13e-04  3.71e-05  6.76e-05  6.76e-05  1.24
  7.50 -6.48e-01  6.47e-01  4.98e-08 -1.37e-02 -1.53e-03  2.90e-02 -1.27e-02  1.19e-04 -8.24e-05   6.32e-05 -5.66e-04  5.19e-04 -7.43e-04  6.77e-04  3.91e-05  6.81e-05  1.73e-05  1.14
  7.00 -5.67e-01  5.66e-01  7.10e-08 -1.27e-02 -1.41e-03  2.56e-02 -1.06e-02  1.18e-04 -7.79e-05   5.78e-05 -5.18e-04  4.77e-04 -6.88e-04  6.21e-04  3.99e-05  5.29e-05  5.88e-06  1.06
  6.50 -5.22e-01  5.22e-01  3.40e-08 -1.19e-02 -1.35e-03  2.48e-02 -1.08e-02  9.04e-05 -7.20e-05   5.35e-05 -4.95e-04  4.56e-04 -5.30e-04  4.56e-04  3.69e-05  5.64e-05  5.05e-06  1.00
  6.00 -4.37e-01  4.36e-01  2.22e-08 -1.09e-02 -1.24e-03  2.30e-02 -1.02e-02  7.04e-05 -6.59e-05   4.38e-05 -4.58e-04  4.28e-04 -3.78e-04  3.09e-04  5.13e-05  1.27e-05  3.87e-06  0.97
  5.50 -3.49e-01  3.48e-01  1.38e-08 -9.81e-03 -1.13e-03  2.09e-02 -9.19e-03  5.49e-05 -5.97e-05   3.29e-05 -4.11e-04  3.98e-04 -2.51e-04  1.92e-04  4.09e-05  1.26e-05  3.21e-06  0.95
  5.00 -2.61e-01  2.58e-01  1.14e-08 -8.33e-03 -9.54e-04  1.89e-02 -7.49e-03  4.48e-05 -5.31e-05   6.16e-05 -3.46e-04  3.73e-04 -1.46e-04  1.19e-04  2.03e-05  5.18e-05  4.40e-06  0.93
  4.50 -1.69e-01  1.68e-01  1.10e-08 -7.57e-03 -8.80e-04  1.59e-02 -5.95e-03  3.60e-05 -4.67e-05   1.15e-05 -3.11e-04  3.42e-04 -6.76e-05  3.74e-05  2.21e-05  9.21e-06  2.50e-06  0.90
  4.00 -9.04e-02  8.78e-02  1.21e-08 -6.25e-03 -7.30e-04  1.32e-02 -3.70e-03  2.86e-05 -3.97e-05   9.74e-06 -2.44e-04  3.16e-04 -1.99e-05  8.90e-06  1.55e-05  9.91e-06  2.34e-06  0.88
  3.50 -8.23e-02  7.72e-02  1.46e-08 -3.72e-03 -2.66e-04  1.02e-02 -1.33e-03  1.85e-05 -2.90e-05   1.84e-06  7.99e-05  1.08e-04 -6.34e-06  9.61e-06  1.48e-05  1.51e-05  1.65e-06  0.84
  3.00 -8.73e-02  7.42e-02 -5.67e-12  9.28e-03 -1.89e-04  3.72e-03 -4.08e-04  2.06e-05 -9.37e-06   3.48e-06  6.00e-04  3.76e-05 -6.25e-06  3.79e-05  2.56e-05  1.59e-05  7.33e-07  0.72
  2.50 -6.73e-02  5.43e-02  2.08e-11  9.65e-03 -1.45e-04  2.70e-03  1.05e-04  2.23e-05 -7.28e-06   1.98e-06  5.36e-04  2.78e-05 -4.18e-06  3.06e-05  2.04e-05  9.92e-06  4.69e-07  0.68
  2.25 -4.52e-02  3.95e-02  5.16e-11  3.59e-03 -1.20e-04  2.16e-03  1.84e-04  2.41e-05 -5.99e-06  -3.79e-07  2.33e-04  1.91e-05 -8.40e-07  6.33e-06  6.27e-06  2.46e-06  2.75e-07  0.68
  2.00 -3.05e-02  2.61e-02 -6.62e-12  2.74e-03 -9.20e-05  1.39e-03  2.10e-04  1.59e-05 -4.56e-06  -6.88e-07  1.78e-04  2.91e-06 -3.93e-07  3.33e-06  3.14e-06  1.40e-06  8.08e-08  0.65
  1.75 -2.31e-02  1.99e-02 -5.08e-12  1.92e-03 -7.08e-05  1.07e-03  1.55e-04  1.23e-05 -3.51e-06  -5.83e-07  1.26e-04  2.19e-06 -2.28e-07  2.06e-06  2.10e-06  9.49e-07  5.70e-08  0.64
  1.50 -1.90e-02  1.82e-02 -3.81e-12  2.49e-04 -4.17e-05  6.98e-04  1.08e-04  2.73e-06 -2.13e-06  -2.52e-07  3.20e-05  7.11e-07 -1.20e-08  2.16e-07  3.97e-07  2.49e-07  2.55e-08  0.62
  1.25 -1.65e-02  1.42e-02 -6.58e-09  1.10e-03  2.60e-05  3.20e-04  7.37e-05 -4.07e-10  0.00e+00   0.00e+00  4.48e-05  7.85e-07  0.00e+00  3.45e-07  3.42e-07  0.00e+00  0.00e+00  0.59
  1.00 -1.26e-02  1.26e-02 -2.58e-12 -1.78e-04 -5.59e-06  2.14e-04  0.00e+00  0.00e+00 -0.00e+00   0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.57
