4  1H     6.2e+00   6.9e+00   8.5e+00   1.0e+01   1.1e+01   1.4e+01   2.0e+01   2.5e+01   3.6e+01
5  2H     3.6e-06   3.7e-06   5.9e-06   7.4e-06   8.9e-06   3.1e-16   4.0e-16   4.4e-16   1.8e-04
6  3H     1.5e-17   7.4e-17   4.3e-12   5.0e-12   5.7e-12   1.3e-30   4.3e-30   9.4e-30   1.0e-29
7  3He    3.5e-04   3.8e-04   4.5e-04   5.2e-04   5.7e-04   7.2e-04   1.1e-03   1.4e-03   1.5e-03
8  4He    4.8e+00   5.3e+00   7.3e+00   9.0e+00   1.0e+01   1.4e+01   2.3e+01   3.1e+01   5.0e+01
9  6Li    7.3e-11   7.4e-11   1.2e-10   1.5e-10   1.8e-10   1.7e-13   1.5e-14   1.9e-14   3.6e-09
10  7Li    1.0e-09   1.0e-09   1.8e-09   2.3e-09   2.8e-09   3.2e-09   4.3e-09   5.0e-09   5.1e-08
11  7Be    1.2e-18   6.5e-16   4.0e-14   1.1e-13   4.9e-12   2.1e-11   1.5e-11   2.3e-11   7.8e-12
12  9Be    1.9e-11   2.0e-11   6.3e-11   7.8e-11   9.2e-11   1.2e-10   1.6e-10   1.8e-10   9.5e-10
13  10Be   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00
14  10B    1.0e-10   1.1e-10   3.6e-10   5.8e-10   6.8e-10   8.6e-10   1.2e-09   1.4e-09   4.4e-09
15  11B    7.3e-09   8.2e-09   1.0e-08   1.2e-08   1.2e-08   1.7e-08   3.0e-08   3.7e-08   5.3e-08
16  12C    1.1e-01   1.9e-01   3.8e-01   5.9e-01   9.4e-01   1.2e+00   3.2e+00   4.5e+00   6.6e+00
17  13C    6.9e-04   7.8e-04   1.0e-03   1.3e-03   1.5e-03   1.9e-03   1.7e-03   1.6e-03   2.1e-03
18  14C    1.8e-06   7.1e-07   1.0e-06   1.1e-06   1.5e-06   1.8e-06   2.5e-05   2.7e-06   3.9e-07
19  13N    1.8e-14   3.6e-14   1.3e-13   1.1e-13   6.1e-13   8.3e-13   2.6e-12   4.5e-12   8.4e-13
20  14N    3.4e-02   3.6e-02   4.4e-02   5.3e-02   6.4e-02   1.0e-01   2.1e-01   2.9e-01   4.7e-01
21  15N    7.1e-06   8.0e-06   1.1e-05   1.3e-05   1.5e-05   1.9e-05   2.5e-05   3.1e-05   4.5e-05
22  16N    9.8e-35   2.9e-33   1.8e-31   1.7e-32   1.6e-27   2.3e-29   4.1e-33   9.9e-32   3.3e-31
23  15O    3.3e-16   3.2e-19   3.0e-16   4.4e-16   4.5e-15   7.0e-14   5.7e-15   1.1e-14   1.3e-14
24  16O    2.0e-01   5.0e-01   1.3e+00   2.3e+00   3.8e+00   6.0e+00   8.2e+00   1.2e+01   1.8e+01
25  17O    5.7e-05   5.8e-05   5.8e-05   5.7e-05   6.1e-05   6.4e-05   1.4e-04   9.6e-05   9.8e-05
26  18O    4.9e-03   5.6e-03   4.8e-03   3.0e-03   9.8e-04   3.0e-04   2.3e-04   2.6e-04   3.3e-04
27  19O    7.1e-26   9.3e-25   1.8e-23   4.0e-25   3.2e-19   2.4e-24   4.2e-25   6.1e-23   2.0e-21
28  17F    3.9e-28   6.0e-27   5.7e-25   1.0e-23   8.6e-21   2.9e-17   1.1e-18   2.0e-18   2.8e-18
29  18F    8.9e-08   4.4e-09   3.9e-08   1.8e-08   3.8e-07   6.3e-08   1.2e-07   1.2e-07   4.1e-08
30  19F    3.6e-06   4.0e-06   5.2e-06   6.5e-06   9.4e-06   1.9e-05   1.5e-05   1.9e-05   2.6e-05
31  20F    1.3e-26   3.1e-24   1.4e-25   1.2e-26   1.3e-19   3.5e-25   5.4e-27   1.1e-26   1.3e-22
32  20Ne   3.8e-02   2.2e-01   3.7e-01   6.9e-01   9.4e-01   1.4e+00   1.4e+00   1.7e+00   2.3e+00
33  21Ne   1.2e-04   2.5e-04   5.6e-04   1.3e-03   2.6e-03   3.3e-03   5.0e-03   8.6e-03   1.2e-02
34  22Ne   7.5e-03   1.3e-02   3.4e-02   4.9e-02   5.8e-02   6.0e-02   5.3e-02   6.7e-02   1.3e-01
35  23Ne   1.7e-19   1.5e-18   3.6e-16   1.9e-18   3.5e-15   5.4e-20   1.1e-18   1.9e-17   3.0e-15
36  21Na   3.0e-20   3.0e-19   7.5e-17   1.7e-18   1.4e-14   3.0e-19   1.0e-17   6.3e-16   2.7e-14
37  22Na   1.1e-07   1.0e-06   1.3e-06   2.5e-06   1.5e-06   1.9e-05   2.2e-05   2.0e-05   1.6e-05
38  23Na   1.1e-03   4.3e-03   6.3e-03   1.7e-02   2.4e-02   3.6e-02   4.2e-02   4.4e-02   4.1e-02
39  24Na   3.4e-07   3.5e-07   6.9e-07   2.1e-06   4.8e-06   1.7e-05   2.4e-05   3.1e-05   2.9e-05
40  23Mg   2.2e-15   3.8e-22   1.9e-15   1.3e-15   3.5e-15   4.0e-15   2.1e-15   4.9e-16   3.9e-17
41  24Mg   2.1e-02   5.4e-02   9.1e-02   1.0e-01   1.7e-01   2.0e-01   2.4e-01   3.6e-01   7.3e-01
42  25Mg   1.4e-03   5.5e-03   9.2e-03   1.4e-02   2.2e-02   3.3e-02   4.6e-02   7.0e-02   1.1e-01
43  26Mg   2.2e-03   5.6e-03   1.1e-02   1.9e-02   3.2e-02   5.5e-02   8.1e-02   1.4e-01   2.2e-01
44  27Mg   1.1e-13   4.4e-13   1.0e-13   4.5e-13   2.2e-11   5.8e-15   1.7e-14   4.6e-13   1.8e-10
45  25Al   6.6e-22   1.0e-20   2.6e-19   3.9e-20   7.3e-18   1.6e-20   7.6e-19   2.8e-18   1.3e-18
46  26Al   2.0e-05   3.3e-05   5.9e-05   6.3e-05   1.3e-04   1.6e-04   2.5e-04   4.1e-04   7.8e-04
