# Units are Msun
# M_init	Sc41	Sc42	Sc43	Sc44	Sc45	Sc46	Sc47	Sc48	Sc49	
8	0	0	0	0	0	0	0	0	0	
13	0.0e+00	0.0e+00	2.1e-08	1.6e-09	6.9e-07	1.7e-08	2.4e-09	1.1e-09	8.5e-13	
15	0.0e+00	0.0e+00	1.9e-08	2.4e-09	1.1e-06	3.1e-08	4.2e-09	2.0e-09	1.2e-12	
20	0.0e+00	0.0e+00	2.5e-08	8.4e-09	2.2e-06	1.6e-07	2.5e-08	6.4e-09	3.5e-12	
25	0.0e+00	0.0e+00	2.4e-08	1.1e-08	4.7e-06	2.0e-07	5.3e-08	1.2e-08	6.9e-12	
30	0.0e+00	0.0e+00	2.0e-08	2.4e-08	8.1e-06	3.5e-07	1.1e-07	2.5e-08	1.4e-11	
40	0.0e+00	0.0e+00	2.2e-08	3.3e-08	1.2e-05	1.6e-06	3.0e-07	5.2e-08	3.1e-11	
60	0.0e+00	0.0e+00	2.8e-08	4.3e-08	1.4e-05	2.5e-06	6.7e-07	9.9e-08	6.5e-11	
80	0.0e+00	0.0e+00	4.5e-08	7.9e-08	2.5e-05	4.4e-06	1.8e-06	1.9e-07	1.2e-10	
120	0.0e+00	0.0e+00	5.2e-08	1.3e-07	4.3e-05	6.3e-06	2.6e-06	2.7e-07	2.0e-10	
