#   col   Z       t [s]     A   elem     13Msun   15Msun    20Msun      25 Msun   30Msun      35 Msun
   51    0e+00   0.0e+00   45  Sc     1.28e-06   5.50e-08   7.93e-08   8.40e-08   1.63e-07   1.05e-07
   52    0e+00   0.0e+00   46  Ti     5.97e-06   1.24e-06   1.36e-06   1.09e-06   1.55e-06   1.02e-06
   53    0e+00   0.0e+00   47  Ti     6.11e-06   9.57e-07   3.60e-07   4.52e-07   5.33e-08   4.13e-08
   54    0e+00   0.0e+00   48  Ti     1.99e-04   1.70e-04   1.85e-04   2.11e-04   2.27e-04   1.94e-04
   55    0e+00   0.0e+00   49  Ti     5.87e-06   2.81e-06   5.52e-06   5.40e-06   9.81e-06   8.86e-06
   56    0e+00   0.0e+00   50  Ti     4.83e-12   1.66e-12   4.40e-12   1.02e-12   2.13e-12   1.89e-13
   57    0e+00   0.0e+00   50  V      4.79e-10   1.21e-11   3.07e-11   9.79e-12   2.34e-11   6.60e-12
   58    0e+00   0.0e+00   51  V      1.26e-05   5.32e-06   6.70e-06   9.42e-06   1.30e-05   1.06e-05
   59    0e+00   0.0e+00   50  Cr     1.62e-05   8.49e-06   1.00e-05   1.35e-05   1.90e-05   1.35e-05
   60    0e+00   0.0e+00   52  Cr     1.13e-03   9.22e-04   2.32e-03   1.89e-03   4.00e-03   3.43e-03
   61    0e+00   0.0e+00   53  Cr     7.63e-05   6.52e-05   1.24e-04   1.22e-04   2.22e-04   2.00e-04
   62    0e+00   0.0e+00   54  Cr     1.37e-09   1.23e-10   3.35e-10   1.62e-10   3.75e-10   2.15e-10
   63    0e+00   0.0e+00   55  Mn     3.16e-04   3.02e-04   3.54e-04   5.11e-04   7.06e-04   5.89e-04
   64    0e+00   0.0e+00   54  Fe     1.17e-03   1.06e-03   1.03e-03   1.61e-03   2.18e-03   1.59e-03
   65    0e+00   0.0e+00   56  Fe     9.12e-02   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
   66    0e+00   0.0e+00   57  Fe     3.72e-03   3.43e-03   1.98e-03   2.41e-03   8.51e-04   1.07e-03
   67    0e+00   0.0e+00   58  Fe     4.02e-08   5.51e-11   1.24e-10   8.14e-11   2.00e-10   1.34e-10
   68    0e+00   0.0e+00   59  Co     2.74e-03   2.14e-04   8.04e-05   8.58e-05   4.26e-06   7.58e-06
   69    0e+00   0.0e+00   58  Ni     1.27e-01   3.03e-03   1.31e-03   6.56e-04   3.34e-04   3.24e-04
   70    0e+00   0.0e+00   60  Ni     1.67e-02   2.87e-03   1.47e-03   2.36e-03   1.37e-04   3.06e-04
   71    0e+00   0.0e+00   61  Ni     1.41e-03   1.53e-04   6.55e-05   9.64e-05   2.50e-06   6.29e-06
   72    0e+00   0.0e+00   62  Ni     1.79e-02   8.48e-04   3.01e-04   3.31e-04   3.77e-06   7.66e-06
   73    0e+00   0.0e+00   64  Ni     5.81e-09   2.16e-16   1.40e-18   4.30e-16   2.32e-15   2.12e-15
   74    0e+00   0.0e+00   63  Cu     6.07e-04   2.17e-06   7.73e-07   2.00e-06   5.25e-07   2.21e-06
   75    0e+00   0.0e+00   65  Cu     4.07e-05   1.79e-06   6.52e-07   9.84e-07   1.84e-08   5.93e-08
   76    0e+00   0.0e+00   64  Zn     1.03e-02   2.68e-05   1.34e-05   3.49e-05   1.90e-06   7.30e-06
   77    0e+00   0.0e+00   66  Zn     1.68e-04   2.32e-05   7.78e-06   9.06e-06   4.20e-08   1.45e-07
   78    0e+00   0.0e+00   67  Zn     3.41e-05   5.47e-08   1.30e-08   1.28e-08   1.72e-11   6.29e-11
   79    0e+00   0.0e+00   68  Zn     7.93e-04   1.00e-08   2.19e-09   2.52e-09   4.54e-12   1.69e-11
   80    0e+00   0.0e+00   70  Zn     5.87e-21   1.44e-20   9.50e-24   8.71e-20   5.62e-20   9.80e-20
   81    0e+00   0.0e+00   69  Ga     1.15e-06   1.92e-12   2.89e-13   2.44e-13   1.80e-15   2.75e-15
   82    0e+00   0.0e+00   71  Ga     1.20e-06   2.69e-14   3.60e-15   2.43e-15   9.19e-17   5.36e-16
   83    0e+00   0.0e+00   70  Ge     6.17e-06   2.43e-16   7.85e-17   8.86e-15   8.18e-14   1.19e-13
   84    0e+00   0.0e+00   72  Ge     2.15e-09   5.39e-17   3.29e-16   4.65e-14   4.24e-13   5.23e-13
   85    0e+00   0.0e+00   73  Ge     1.08e-08   1.00e-17   7.15e-19   3.39e-16   1.86e-15   3.79e-15
   86    0e+00   0.0e+00   74  Ge     2.41e-11   4.04e-17   9.14e-19   1.09e-15   8.49e-16   1.37e-14
   87    0e+00   0.0e+00   76  Ge     3.71e-21   1.35e-20   2.71e-22   2.76e-19   3.98e-19   1.86e-18
   88    0e+00   0.0e+00   75  As     1.97e-08   5.07e-14   8.92e-15   1.32e-14   1.32e-15   3.54e-15
   89    0e+00   0.0e+00   74  Se     1.20e-06   1.64e-15   3.90e-16   2.47e-14   2.50e-13   3.84e-13
   90    0e+00   0.0e+00   76  Se     7.31e-10   1.27e-16   6.55e-16   8.66e-14   9.13e-13   1.26e-12
   91    0e+00   0.0e+00   77  Se     2.26e-09   6.84e-18   5.90e-19   3.02e-16   8.60e-16   5.72e-15
   92    0e+00   0.0e+00   78  Se     1.34e-11   2.59e-17   4.76e-17   7.08e-15   5.19e-14   7.15e-14
   93    0e+00   0.0e+00   80  Se     1.39e-15   4.23e-17   9.22e-17   5.43e-15   1.66e-13   2.21e-13
   94    0e+00   0.0e+00   82  Se     1.10e-19   2.92e-20   1.07e-19   2.36e-18   2.00e-16   2.90e-17
   95    0e+00   0.0e+00   79  Br     1.08e-09   1.37e-14   2.52e-15   5.92e-15   8.06e-15   1.70e-14
   96    0e+00   0.0e+00   81  Br     1.81e-09   1.33e-17   2.62e-17   2.97e-15   4.33e-14   6.17e-14
   97    0e+00   0.0e+00   78  Kr     1.88e-07   2.34e-15   4.17e-16   1.10e-14   1.18e-13   1.89e-13
   98    0e+00   0.0e+00   80  Kr     5.06e-09   7.96e-17   2.08e-15   2.62e-13   3.01e-12   4.44e-12
   99    0e+00   0.0e+00   82  Kr     1.09e-11   5.36e-17   6.20e-16   7.01e-14   1.47e-12   1.57e-12
  100    0e+00   0.0e+00   83  Kr     1.50e-11   1.42e-17   1.17e-16   1.74e-14   4.15e-13   2.40e-13
  101    0e+00   0.0e+00   84  Kr     9.49e-13   8.72e-17   1.15e-15   4.54e-13   1.21e-12   3.98e-11
  102    0e+00   0.0e+00   86  Kr     5.67e-17   5.08e-16   2.62e-16   9.55e-14   1.33e-13   7.46e-12
  103    0e+00   0.0e+00   85  Rb     4.99e-11   1.27e-17   1.31e-15   1.55e-13   6.43e-13   1.18e-11
  104    0e+00   0.0e+00   87  Rb     3.18e-17   9.64e-17   1.64e-16   1.39e-14   4.89e-14   6.00e-13
  105    0e+00   0.0e+00   84  Sr     8.95e-10   1.87e-17   2.05e-15   2.37e-13   2.98e-12   4.33e-12
  106    0e+00   0.0e+00   86  Sr     3.12e-11   7.90e-17   1.40e-14   1.52e-12   1.06e-11   1.35e-10
  107    0e+00   0.0e+00   87  Sr     1.23e-10   2.68e-17   1.27e-14   1.42e-12   1.04e-12   1.46e-10
  108    0e+00   0.0e+00   88  Sr     1.59e-11   4.59e-16   1.61e-13   2.55e-11   5.27e-10   6.29e-10
  109    0e+00   0.0e+00   89  Y      1.91e-13   1.46e-16   1.52e-14   2.46e-12   4.94e-11   1.45e-10
  110    0e+00   0.0e+00   90  Zr     9.60e-11   4.91e-16   9.36e-14   1.80e-11   1.61e-10   4.08e-10
  111    0e+00   0.0e+00   91  Zr     6.04e-11   3.01e-17   1.27e-14   9.38e-12   3.57e-11   6.01e-11
  112    0e+00   0.0e+00   92  Zr     9.06e-14   5.68e-17   2.45e-14   8.03e-12   4.41e-11   3.88e-10
  113    0e+00   0.0e+00   94  Zr     9.74e-14   6.23e-17   3.10e-13   1.19e-10   3.84e-10   2.29e-09
  114    0e+00   0.0e+00   96  Zr     3.29e-16   1.49e-19   2.24e-16   2.32e-13   5.16e-13   2.92e-12
  115    0e+00   0.0e+00   93  Nb     5.14e-12   2.85e-17   1.08e-14   2.08e-12   6.87e-12   1.97e-10
  116    0e+00   0.0e+00   92  Mo     4.24e-09   1.71e-16   1.04e-14   2.22e-12   2.01e-11   4.27e-11
  117    0e+00   0.0e+00   94  Mo     9.45e-13   1.74e-16   1.19e-14   2.62e-12   2.00e-11   4.83e-11
  118    0e+00   0.0e+00   95  Mo     1.33e-14   1.09e-17   3.64e-14   1.61e-11   4.33e-11   2.67e-10
  119    0e+00   0.0e+00   96  Mo     6.07e-14   4.62e-16   1.42e-13   5.85e-11   1.98e-10   9.33e-10
  120    0e+00   0.0e+00   97  Mo     9.05e-15   1.31e-15   4.36e-14   2.20e-11   1.75e-10   1.15e-09
  121    0e+00   0.0e+00   98  Mo     5.97e-14   1.43e-15   4.11e-14   2.29e-11   7.88e-11   4.40e-10
  122    0e+00   2.5e+04    3  H      1.35e-29   5.76e-27   2.57e-28   1.40e-22   3.77e-21   1.01e-22
  123    0e+00   2.5e+04   14  C      4.16e-11   2.09e-10   3.82e-09   6.09e-03   6.59e-03   5.87e-05
  124    0e+00   2.5e+04   22  Na     1.01e-07   3.16e-07   3.75e-07   1.76e-06   2.98e-06   1.10e-05
  125    0e+00   2.5e+04   26  Al     6.35e-07   6.77e-07   2.05e-06   1.71e-06   4.20e-06   1.57e-06
  126    0e+00   2.5e+04   32  Si     3.30e-11   7.42e-12   3.67e-11   1.25e-11   1.98e-11   2.67e-12
  127    0e+00   2.5e+04   36  Cl     6.73e-08   3.76e-08   1.10e-07   5.13e-08   1.03e-07   2.43e-08
  128    0e+00   2.5e+04   39  Ar     1.11e-09   5.86e-10   1.38e-09   6.58e-10   1.29e-09   2.56e-10
  129    0e+00   2.5e+04   41  Ca     6.72e-07   7.79e-07   1.54e-06   1.48e-06   3.06e-06   2.07e-06
  130    0e+00   2.5e+04   45  Ca     2.49e-12   5.65e-13   2.12e-12   5.17e-13   9.15e-13   7.22e-14
  131    0e+00   2.5e+04   44  Ti     6.94e-05   5.95e-05   3.01e-05   5.73e-05   1.19e-05   1.03e-05
  132    0e+00   2.5e+04   49  V      5.86e-06   2.80e-06   5.50e-06   5.38e-06   9.78e-06   8.84e-06
  133    0e+00   2.5e+04   53  Mn     7.64e-05   6.53e-05   1.25e-04   1.23e-04   2.22e-04   2.01e-04
  134    0e+00   2.5e+04   54  Mn     1.37e-09   1.23e-10   3.35e-10   1.62e-10   3.75e-10   2.16e-10
  135    0e+00   2.5e+04   55  Fe     5.43e-05   5.15e-05   6.11e-05   8.71e-05   1.21e-04   1.00e-04
  136    0e+00   2.5e+04   60  Fe     2.95e-20   7.31e-18   5.55e-21   5.67e-18   3.22e-15   1.31e-21
  137    0e+00   2.5e+04   57  Co     1.97e-04   1.79e-04   1.04e-04   1.24e-04   4.37e-05   5.51e-05
  138    0e+00   2.5e+04   60  Co     2.69e-13   6.80e-17   2.10e-16   1.25e-16   3.67e-16   2.86e-16
  139    0e+00   2.5e+04   56  Ni     9.13e-02   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  140    0e+00   2.5e+04   57  Ni     3.53e-03   3.26e-03   1.88e-03   2.30e-03   8.08e-04   1.02e-03
  141    0e+00   2.5e+04   59  Ni     2.75e-03   2.14e-04   8.04e-05   8.59e-05   4.27e-06   7.58e-06
  142    0e+00   2.5e+04   63  Ni     2.20e-12   5.34e-18   8.84e-19   1.58e-18   4.48e-16   3.81e-18
  143    0e+00   2.5e+04   65  Zn     4.07e-05   1.79e-06   6.53e-07   9.84e-07   1.84e-08   5.93e-08
  144    0e+00   2.5e+04   68  Ge     7.93e-04   1.00e-08   2.19e-09   2.53e-09   4.53e-12   1.70e-11
  145    0e+00   2.5e+04   79  Se     5.24e-18   2.41e-18   6.81e-20   1.50e-16   4.20e-17   1.82e-15
  146    0e+00   2.5e+04   81  Kr     1.14e-09   2.59e-18   8.32e-18   1.52e-15   1.14e-14   1.95e-14
  147    0e+00   2.5e+04   85  Kr     1.13e-17   2.29e-18   3.02e-17   2.02e-14   3.27e-14   8.86e-13
  148    0e+00   2.5e+04   90  Sr     1.12e-19   3.82e-20   1.03e-17   2.04e-15   3.83e-14   2.96e-14
  149    0e+00   2.5e+04   93  Zr     6.68e-16   1.26e-17   7.72e-15   1.61e-12   4.20e-12   1.66e-10
  150    1e-06   0.0e+00    0  ejec   1.16e+01   1.36e+01   1.83e+01   2.32e+01   2.81e+01   3.29e+01
  151    1e-06   0.0e+00    0  remn   1.44e+00   1.45e+00   1.66e+00   1.78e+00   1.93e+00   2.13e+00
  152    1e-06   0.0e+00   56  Ni     1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  153    1e-06   0.0e+00    1  H      6.83e+00   7.70e+00   9.70e+00   1.14e+01   1.31e+01   1.47e+01
  154    1e-06   0.0e+00    2  H      1.61e-16   1.29e-16   1.12e-16   1.27e-16   1.46e-16   1.68e-16
  155    1e-06   0.0e+00    3  He     7.04e-05   6.41e-05   5.50e-05   4.97e-05   4.66e-05   4.45e-05
