#   col   Z       t [s]     A   elem     13Msun   15Msun    20Msun      25 Msun   30Msun      35 Msun
  222    1e-06   0.0e+00   64  Ni     4.33e-10   5.07e-10   6.82e-10   8.71e-10   1.22e-09   7.83e-09
  223    1e-06   0.0e+00   63  Cu     6.56e-06   1.82e-06   1.37e-06   1.50e-05   3.35e-06   3.09e-07
  224    1e-06   0.0e+00   65  Cu     2.09e-06   1.13e-06   6.06e-07   4.10e-07   1.12e-07   1.02e-08
  225    1e-06   0.0e+00   64  Zn     5.22e-05   2.47e-05   2.49e-05   4.33e-05   1.31e-05   9.05e-07
  226    1e-06   0.0e+00   66  Zn     2.53e-05   1.32e-05   5.08e-06   2.25e-06   3.31e-07   2.51e-08
  227    1e-06   0.0e+00   67  Zn     6.14e-08   2.47e-08   6.22e-09   1.61e-09   3.04e-10   3.19e-10
  228    1e-06   0.0e+00   68  Zn     1.03e-08   5.80e-09   1.60e-09   9.51e-10   6.87e-10   1.33e-09
  229    1e-06   0.0e+00   70  Zn     7.87e-12   9.17e-12   1.22e-11   1.55e-11   1.76e-11   1.98e-11
  230    1e-06   0.0e+00   69  Ga     2.79e-11   3.15e-11   4.31e-11   5.54e-11   7.48e-11   1.63e-10
  231    1e-06   0.0e+00   71  Ga     1.62e-11   1.90e-11   2.60e-11   3.35e-11   4.61e-11   9.62e-11
  232    1e-06   0.0e+00   70  Ge     2.82e-11   3.40e-11   4.94e-11   6.26e-11   9.09e-11   2.09e-10
  233    1e-06   0.0e+00   72  Ge     3.50e-11   4.08e-11   5.53e-11   6.95e-11   9.27e-11   2.04e-10
  234    1e-06   0.0e+00   73  Ge     9.89e-12   1.16e-11   1.56e-11   2.00e-11   2.61e-11   5.79e-11
  235    1e-06   0.0e+00   74  Ge     4.72e-11   5.52e-11   7.41e-11   9.43e-11   1.17e-10   2.43e-10
  236    1e-06   0.0e+00   76  Ge     1.01e-11   1.17e-11   1.55e-11   1.97e-11   2.22e-11   2.52e-11
  237    1e-06   0.0e+00   75  As     7.12e-12   8.21e-12   1.10e-11   1.37e-11   1.70e-11   2.90e-11
  238    1e-06   0.0e+00   74  Se     6.78e-13   8.33e-13   1.32e-12   1.63e-12   2.24e-12   2.81e-12
  239    1e-06   0.0e+00   76  Se     7.63e-12   9.26e-12   1.33e-11   1.73e-11   2.30e-11   5.90e-11
  240    1e-06   0.0e+00   77  Se     5.42e-12   6.41e-12   8.70e-12   1.14e-11   1.40e-11   2.86e-11
  241    1e-06   0.0e+00   78  Se     1.71e-11   2.01e-11   2.72e-11   3.48e-11   4.43e-11   9.27e-11
  242    1e-06   0.0e+00   80  Se     3.53e-11   4.10e-11   5.46e-11   7.01e-11   8.73e-11   1.80e-10
  243    1e-06   0.0e+00   82  Se     6.80e-12   7.95e-12   1.06e-11   1.35e-11   1.58e-11   1.78e-11
  244    1e-06   0.0e+00   79  Br     6.57e-12   7.62e-12   1.01e-11   1.27e-11   1.69e-11   3.57e-11
  245    1e-06   0.0e+00   81  Br     7.09e-12   8.34e-12   1.13e-11   1.49e-11   1.72e-11   3.24e-11
  246    1e-06   0.0e+00   78  Kr     1.77e-13   2.09e-13   2.96e-13   3.82e-13   4.43e-13   6.70e-13
  247    1e-06   0.0e+00   80  Kr     1.94e-12   2.46e-12   3.82e-12   5.37e-12   5.45e-12   9.54e-12
  248    1e-06   0.0e+00   82  Kr     7.93e-12   9.88e-12   1.43e-11   1.97e-11   2.47e-11   6.82e-11
  249    1e-06   0.0e+00   83  Kr     6.06e-12   7.06e-12   9.56e-12   1.21e-11   1.53e-11   3.15e-11
  250    1e-06   0.0e+00   84  Kr     3.15e-11   3.68e-11   4.99e-11   6.84e-11   7.87e-11   1.65e-10
  251    1e-06   0.0e+00   86  Kr     9.91e-12   1.16e-11   1.56e-11   1.99e-11   2.71e-11   8.25e-11
  252    1e-06   0.0e+00   85  Rb     6.48e-12   7.59e-12   1.02e-11   1.36e-11   1.77e-11   5.08e-11
  253    1e-06   0.0e+00   87  Rb     2.76e-12   3.19e-12   4.38e-12   5.50e-12   8.15e-12   3.18e-11
  254    1e-06   0.0e+00   84  Sr     1.76e-13   2.00e-13   2.89e-13   4.17e-13   4.12e-13   8.57e-13
  255    1e-06   0.0e+00   86  Sr     4.01e-12   5.04e-12   7.39e-12   1.06e-11   1.20e-11   3.14e-11
  256    1e-06   0.0e+00   87  Sr     2.16e-12   2.63e-12   3.71e-12   2.24e-11   6.28e-12   5.83e-11
  257    1e-06   0.0e+00   88  Sr     2.56e-11   3.00e-11   4.07e-11   5.97e-11   6.51e-11   1.19e-10
  258    1e-06   0.0e+00   89  Y      6.16e-12   7.25e-12   9.90e-12   1.52e-11   1.57e-11   2.32e-11
  259    1e-06   0.0e+00   90  Zr     8.18e-12   9.62e-12   1.34e-11   2.03e-11   2.09e-11   3.42e-11
  260    1e-06   0.0e+00   91  Zr     1.71e-12   2.01e-12   2.71e-12   4.00e-12   4.31e-12   1.01e-11
  261    1e-06   0.0e+00   92  Zr     2.66e-12   3.13e-12   4.23e-12   6.14e-12   6.68e-12   1.05e-11
  262    1e-06   0.0e+00   94  Zr     2.69e-12   3.15e-12   4.20e-12   3.84e-11   6.51e-12   4.89e-11
  263    1e-06   0.0e+00   96  Zr     3.93e-13   4.47e-13   5.75e-13   7.79e-13   9.35e-13   2.75e-12
  264    1e-06   0.0e+00   93  Nb     9.36e-13   1.09e-12   1.47e-12   1.94e-12   2.30e-12   3.12e-12
  265    1e-06   0.0e+00   92  Mo     6.32e-13   7.44e-13   1.18e-12   1.62e-12   1.83e-12   2.60e-12
  266    1e-06   0.0e+00   94  Mo     4.97e-13   6.27e-13   1.05e-12   1.59e-12   1.68e-12   2.19e-12
  267    1e-06   0.0e+00   95  Mo     5.63e-13   6.60e-13   8.85e-13   4.14e-12   1.34e-12   6.79e-12
  268    1e-06   0.0e+00   96  Mo     8.35e-13   1.02e-12   1.58e-12   5.79e-12   2.79e-12   2.35e-11
  269    1e-06   0.0e+00   97  Mo     4.42e-13   5.45e-13   7.76e-13   6.13e-12   2.08e-12   1.24e-11
  270    1e-06   0.0e+00   98  Mo     7.74e-11   9.08e-11   1.21e-10   1.59e-10   1.86e-10   2.22e-10
  271    1e-06   2.5e+04    3  H      1.14e-59   1.33e-59   2.35e-30   4.55e-29   3.97e-27   1.08e-25
  272    1e-06   2.5e+04   14  C      1.41e-10   2.87e-10   1.45e-08   1.69e-08   1.87e-06   3.13e-05
  273    1e-06   2.5e+04   22  Na     1.03e-07   6.40e-07   5.87e-07   7.42e-06   1.34e-06   1.21e-05
  274    1e-06   2.5e+04   26  Al     8.61e-07   7.35e-07   2.35e-06   1.55e-06   2.85e-06   1.64e-06
  275    1e-06   2.5e+04   32  Si     3.83e-11   8.94e-12   1.79e-11   5.65e-12   7.58e-12   1.80e-12
  276    1e-06   2.5e+04   36  Cl     8.14e-08   4.27e-08   9.10e-08   3.77e-08   5.35e-08   2.38e-08
  277    1e-06   2.5e+04   39  Ar     1.19e-09   5.99e-10   1.29e-09   4.66e-10   7.83e-10   1.31e-09
  278    1e-06   2.5e+04   41  Ca     8.85e-07   1.87e-06   1.70e-06   1.69e-06   2.98e-06   2.56e-06
  279    1e-06   2.5e+04   45  Ca     2.81e-12   6.88e-13   1.57e-12   9.31e-13   1.38e-11   3.81e-10
  280    1e-06   2.5e+04   44  Ti     7.93e-05   5.18e-05   3.76e-05   2.06e-05   1.52e-05   1.17e-05
  281    1e-06   2.5e+04   49  V      2.81e-06   5.37e-06   6.16e-06   8.07e-06   7.98e-06   9.53e-06
  282    1e-06   2.5e+04   53  Mn     6.12e-05   1.16e-04   1.42e-04   1.83e-04   1.79e-04   2.17e-04
  283    1e-06   2.5e+04   54  Mn     3.56e-10   2.90e-09   3.23e-10   8.46e-10   2.19e-10   2.31e-10
  284    1e-06   2.5e+04   55  Fe     3.33e-05   1.00e-04   9.78e-05   1.06e-04   9.29e-05   1.08e-04
  285    1e-06   2.5e+04   60  Fe     1.30e-13   1.47e-13   3.10e-13   3.17e-13   4.62e-10   2.33e-08
  286    1e-06   2.5e+04   57  Co     1.62e-04   1.61e-04   1.03e-04   8.42e-05   5.44e-05   4.17e-05
  287    1e-06   2.5e+04   60  Co     5.94e-12   2.94e-12   1.07e-11   7.25e-12   4.88e-10   4.17e-09
  288    1e-06   2.5e+04   56  Ni     1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  289    1e-06   2.5e+04   57  Ni     3.07e-03   2.98e-03   1.92e-03   1.57e-03   1.02e-03   7.74e-04
  290    1e-06   2.5e+04   59  Ni     1.80e-04   1.63e-04   5.37e-05   8.57e-06   7.12e-06   4.20e-06
  291    1e-06   2.5e+04   63  Ni     1.93e-12   3.63e-12   7.09e-12   1.74e-11   4.72e-10   4.99e-09
  292    1e-06   2.5e+04   65  Zn     2.09e-06   1.13e-06   6.07e-07   4.10e-07   1.12e-07   8.72e-09
  293    1e-06   2.5e+04   68  Ge     1.01e-08   5.53e-09   1.22e-09   4.66e-10   4.42e-11   3.93e-12
  294    1e-06   2.5e+04   79  Se     4.20e-14   9.90e-14   1.13e-13   6.51e-13   2.99e-12   1.98e-11
  295    1e-06   2.5e+04   81  Kr     2.84e-13   4.06e-13   6.52e-13   1.10e-12   5.61e-13   1.09e-12
  296    1e-06   2.5e+04   85  Kr     3.10e-14   5.17e-14   1.47e-13   5.40e-13   3.49e-12   2.02e-11
  297    1e-06   2.5e+04   90  Sr     1.01e-16   1.28e-16   3.60e-16   1.38e-15   1.14e-13   2.10e-12
  298    1e-06   2.5e+04   93  Zr     4.95e-14   7.68e-14   1.40e-13   2.57e-13   4.47e-13   9.20e-13
  299    1e-04   0.0e+00    0  ejec   1.17e+01   1.33e+01   1.84e+01   2.31e+01   2.82e+01   3.29e+01
  300    1e-04   0.0e+00    0  remn   1.33e+00   1.65e+00   1.55e+00   1.86e+00   1.84e+00   2.14e+00
  301    1e-04   0.0e+00   56  Ni     1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  302    1e-04   0.0e+00    1  H      6.74e+00   7.61e+00   9.61e+00   1.14e+01   1.31e+01   1.47e+01
  303    1e-04   0.0e+00    2  H      1.64e-16   1.81e-16   2.20e-16   2.54e-16   2.85e-16   3.17e-16
  304    1e-04   0.0e+00    3  He     9.01e-05   8.27e-05   7.10e-05   6.48e-05   6.13e-05   5.92e-05
  305    1e-04   0.0e+00    4  He     3.83e+00   4.43e+00   5.85e+00   7.14e+00   8.50e+00   9.85e+00
  306    1e-04   0.0e+00    6  Li     2.16e-12   2.28e-12   2.21e-12   2.40e-12   2.27e-12   2.40e-12
  307    1e-04   0.0e+00    7  Li     4.53e-17   1.03e-15   3.45e-13   1.82e-12   3.29e-12   4.43e-12
  308    1e-04   0.0e+00    9  Be     5.96e-13   5.85e-13   6.37e-13   6.18e-13   6.35e-13   6.15e-13
  309    1e-04   0.0e+00   10  B      4.17e-12   4.33e-12   4.51e-12   4.53e-12   4.69e-12   4.71e-12
  310    1e-04   0.0e+00   11  B      3.16e-11   3.46e-11   4.15e-11   4.76e-11   5.34e-11   5.88e-11
  311    1e-04   0.0e+00   12  C      1.09e-01   2.00e-01   3.01e-01   5.43e-01   6.24e-01   8.14e-01
  312    1e-04   0.0e+00   13  C      4.37e-06   4.98e-06   6.40e-06   7.60e-06   8.92e-06   1.02e-05
  313    1e-04   0.0e+00   14  N      2.99e-04   3.37e-04   4.17e-04   5.21e-04   6.21e-04   7.22e-04
  314    1e-04   0.0e+00   15  N      6.07e-08   6.76e-08   8.35e-08   1.34e-07   1.24e-07   1.54e-07
  315    1e-04   0.0e+00   16  O      3.17e-01   4.59e-01   1.37e+00   2.38e+00   3.75e+00   4.97e+00
  316    1e-04   0.0e+00   17  O      3.89e-06   3.98e-06   4.39e-06   5.32e-06   5.45e-06   5.09e-06
  317    1e-04   0.0e+00   18  O      4.47e-06   7.13e-06   6.55e-06   3.31e-06   1.46e-06   1.41e-06
  318    1e-04   0.0e+00   19  F      1.58e-08   1.87e-08   3.71e-08   5.84e-08   7.29e-08   1.06e-07
  319    1e-04   0.0e+00   20  Ne     1.33e-01   4.24e-02   4.89e-01   6.77e-01   1.05e+00   1.19e+00
  320    1e-04   0.0e+00   21  Ne     6.85e-06   5.93e-06   2.98e-05   5.12e-05   8.11e-05   7.75e-05
  321    1e-04   0.0e+00   22  Ne     6.27e-05   9.50e-05   2.09e-04   3.11e-04   3.68e-04   4.17e-04
  322    1e-04   0.0e+00   23  Na     7.83e-04   1.84e-04   1.83e-03   3.06e-03   4.48e-03   3.99e-03
  323    1e-04   0.0e+00   24  Mg     5.12e-02   5.41e-02   1.70e-01   1.43e-01   2.23e-01   2.22e-01
  324    1e-04   0.0e+00   25  Mg     1.52e-04   1.67e-04   6.55e-04   3.25e-04   4.88e-04   3.25e-04
  325    1e-04   0.0e+00   26  Mg     3.15e-04   2.33e-04   1.17e-03   5.33e-04   9.11e-04   6.07e-04
  326    1e-04   0.0e+00   27  Al     1.18e-03   5.50e-04   2.97e-03   1.84e-03   3.05e-03   2.40e-03
  327    1e-04   0.0e+00   28  Si     7.48e-02   1.14e-01   1.11e-01   1.71e-01   1.69e-01   2.33e-01
  328    1e-04   0.0e+00   29  Si     2.84e-04   6.55e-04   7.31e-04   5.07e-04   7.39e-04   6.35e-04
  329    1e-04   0.0e+00   30  Si     2.50e-04   5.33e-04   5.30e-04   2.35e-04   3.47e-04   2.27e-04
  330    1e-04   0.0e+00   31  P      1.12e-04   2.21e-04   2.20e-04   1.49e-04   2.00e-04   1.56e-04
  331    1e-04   0.0e+00   32  S      3.64e-02   4.90e-02   4.41e-02   8.22e-02   7.43e-02   1.15e-01
  332    1e-04   0.0e+00   33  S      6.75e-05   1.29e-04   8.88e-05   1.23e-04   1.33e-04   1.47e-04
  333    1e-04   0.0e+00   34  S      3.75e-04   7.53e-04   3.36e-04   3.09e-04   2.84e-04   2.53e-04
  334    1e-04   0.0e+00   36  S      1.04e-08   2.33e-08   1.40e-08   1.10e-08   1.40e-08   1.40e-08
  335    1e-04   0.0e+00   35  Cl     3.39e-05   5.04e-05   3.42e-05   3.95e-05   3.81e-05   3.73e-05
  336    1e-04   0.0e+00   37  Cl     1.00e-05   8.03e-06   5.06e-06   1.05e-05   9.78e-06   1.36e-05
  337    1e-04   0.0e+00   36  Ar     7.00e-03   8.94e-03   8.34e-03   1.61e-02   1.46e-02   2.33e-02
  338    1e-04   0.0e+00   38  Ar     2.92e-04   1.93e-04   7.28e-05   1.49e-04   8.05e-05   1.17e-04
  339    1e-04   0.0e+00   40  Ar     1.63e-09   2.16e-09   2.50e-09   2.85e-09   3.52e-09   3.88e-09
  340    1e-04   0.0e+00   39  K      3.74e-05   1.96e-05   2.18e-05   2.39e-05   1.64e-05   2.33e-05
  341    1e-04   0.0e+00   40  K      6.38e-09   1.25e-08   9.40e-09   1.25e-08   1.91e-08   2.25e-08
  342    1e-04   0.0e+00   41  K      2.77e-06   1.67e-06   1.32e-06   2.52e-06   2.43e-06   3.52e-06
  343    1e-04   0.0e+00   40  Ca     6.08e-03   7.71e-03   7.53e-03   1.42e-02   1.36e-02   2.11e-02
  344    1e-04   0.0e+00   42  Ca     1.01e-05   3.62e-06   1.58e-06   3.53e-06   1.64e-06   2.60e-06
  345    1e-04   0.0e+00   43  Ca     3.13e-07   3.40e-08   1.96e-07   2.43e-08   3.80e-08   4.64e-08
  346    1e-04   0.0e+00   44  Ca     1.74e-05   4.12e-05   6.70e-05   1.85e-05   2.78e-05   1.20e-05
  347    1e-04   0.0e+00   46  Ca     1.62e-10   2.00e-10   2.54e-10   3.11e-10   3.75e-10   4.29e-10
  348    1e-04   0.0e+00   48  Ca     7.99e-09   9.03e-09   1.23e-08   1.52e-08   1.85e-08   2.10e-08
  349    1e-04   0.0e+00   45  Sc     1.31e-07   7.54e-08   7.66e-08   1.34e-07   1.20e-07   1.85e-07
  350    1e-04   0.0e+00   46  Ti     8.04e-06   2.23e-06   1.40e-06   2.42e-06   1.00e-06   1.60e-06
  351    1e-04   0.0e+00   47  Ti     6.59e-07   1.43e-07   7.30e-07   9.63e-08   8.28e-08   7.80e-08
  352    1e-04   0.0e+00   48  Ti     1.22e-04   1.83e-04   2.07e-04   1.83e-04   1.83e-04   2.22e-04
  353    1e-04   0.0e+00   49  Ti     7.29e-06   4.88e-06   5.52e-06   8.12e-06   5.99e-06   9.27e-06
  354    1e-04   0.0e+00   50  Ti     1.01e-08   1.15e-08   1.77e-08   2.40e-08   3.38e-08   4.32e-08
  355    1e-04   0.0e+00   50  V      2.56e-10   2.86e-10   3.72e-10   7.89e-10   7.75e-10   2.06e-09
  356    1e-04   0.0e+00   51  V      2.10e-05   8.02e-06   1.16e-05   1.30e-05   7.56e-06   1.19e-05
  357    1e-04   0.0e+00   50  Cr     7.65e-05   1.57e-05   2.46e-05   2.54e-05   8.63e-06   1.59e-05
  358    1e-04   0.0e+00   52  Cr     1.76e-03   1.79e-03   1.57e-03   2.84e-03   2.51e-03   4.03e-03
  359    1e-04   0.0e+00   53  Cr     1.72e-04   1.10e-04   1.18e-04   1.81e-04   1.35e-04   2.14e-04
  360    1e-04   0.0e+00   54  Cr     4.32e-08   3.93e-08   6.62e-08   9.43e-08   1.36e-07   1.75e-07
  361    1e-04   0.0e+00   55  Mn     9.35e-04   3.99e-04   5.22e-04   6.50e-04   4.37e-04   7.01e-04
  362    1e-04   0.0e+00   54  Fe     5.58e-03   1.43e-03   2.43e-03   2.42e-03   1.06e-03   1.87e-03
  363    1e-04   0.0e+00   56  Fe     1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  364    1e-04   0.0e+00   57  Fe     3.37e-03   2.29e-03   2.93e-03   1.54e-03   1.65e-03   7.77e-04
  365    1e-04   0.0e+00   58  Fe     4.15e-07   5.42e-07   1.17e-06   1.89e-06   3.48e-06   5.06e-06
  366    1e-04   0.0e+00   59  Co     2.37e-04   3.50e-05   1.24e-04   1.24e-05   1.53e-05   5.97e-06
  367    1e-04   0.0e+00   58  Ni     8.91e-03   3.11e-04   1.15e-03   3.70e-04   2.76e-04   3.13e-04
  368    1e-04   0.0e+00   60  Ni     1.88e-03   2.35e-03   2.61e-03   1.05e-03   1.33e-03   8.04e-05
  369    1e-04   0.0e+00   61  Ni     1.50e-04   8.92e-05   1.20e-04   3.03e-05   4.09e-05   1.47e-06
  370    1e-04   0.0e+00   62  Ni     1.98e-03   2.08e-04   4.62e-04   5.52e-05   6.59e-05   2.83e-06
  371    1e-04   0.0e+00   64  Ni     4.43e-08   4.94e-08   7.14e-08   8.94e-08   1.14e-07   1.37e-07
  372    1e-04   0.0e+00   63  Cu     3.05e-06   1.68e-05   2.24e-06   1.13e-05   1.25e-05   1.53e-07
  373    1e-04   0.0e+00   65  Cu     1.91e-06   1.00e-06   1.29e-06   3.90e-07   7.05e-07   8.23e-08
  374    1e-04   0.0e+00   64  Zn     1.45e-05   7.01e-05   3.31e-05   3.57e-05   6.38e-05   3.39e-07
  375    1e-04   0.0e+00   66  Zn     5.96e-05   7.71e-06   1.28e-05   1.82e-06   3.24e-06   1.16e-07
  376    1e-04   0.0e+00   67  Zn     1.51e-07   1.34e-08   3.23e-08   1.27e-08   1.73e-08   1.82e-08
  377    1e-04   0.0e+00   68  Zn     1.12e-07   2.93e-08   4.35e-08   5.08e-08   6.48e-08   7.72e-08
  378    1e-04   0.0e+00   70  Zn     7.89e-10   9.57e-10   1.21e-09   1.48e-09   1.76e-09   2.01e-09
  379    1e-04   0.0e+00   69  Ga     2.60e-09   3.03e-09   4.43e-09   5.74e-09   7.53e-09   9.12e-09
  380    1e-04   0.0e+00   71  Ga     1.66e-09   1.90e-09   2.86e-09   3.76e-09   5.02e-09   6.19e-09
  381    1e-04   0.0e+00   70  Ge     2.85e-09   3.36e-09   5.07e-09   7.10e-09   9.27e-09   1.17e-08
  382    1e-04   0.0e+00   72  Ge     3.53e-09   4.10e-09   5.69e-09   7.21e-09   9.23e-09   1.10e-08
  383    1e-04   0.0e+00   73  Ge     1.00e-09   1.13e-09   1.64e-09   2.07e-09   2.64e-09   3.18e-09
  384    1e-04   0.0e+00   74  Ge     4.76e-09   5.39e-09   7.53e-09   9.39e-09   1.15e-08   1.36e-08
  385    1e-04   0.0e+00   76  Ge     1.01e-09   1.16e-09   1.54e-09   1.87e-09   2.19e-09   2.49e-09
  386    1e-04   0.0e+00   75  As     7.09e-10   8.39e-10   1.11e-09   1.37e-09   1.68e-09   1.95e-09
  387    1e-04   0.0e+00   74  Se     6.55e-11   8.93e-11   1.09e-10   1.84e-10   2.05e-10   3.07e-10
  388    1e-04   0.0e+00   76  Se     7.65e-10   8.93e-10   1.32e-09   1.76e-09   2.27e-09   2.76e-09
  389    1e-04   0.0e+00   77  Se     5.48e-10   6.29e-10   9.06e-10   1.14e-09   1.42e-09   1.67e-09
  390    1e-04   0.0e+00   78  Se     1.73e-09   1.96e-09   2.82e-09   3.58e-09   4.50e-09   5.31e-09
  391    1e-04   0.0e+00   80  Se     3.54e-09   4.02e-09   5.37e-09   6.49e-09   7.60e-09   8.58e-09
  392    1e-04   0.0e+00   82  Se     6.84e-10   7.86e-10   1.06e-09   1.32e-09   1.59e-09   1.83e-09
  393    1e-04   0.0e+00   79  Br     6.62e-10   7.52e-10   1.03e-09   1.29e-09   1.56e-09   1.81e-09
  394    1e-04   0.0e+00   81  Br     7.14e-10   8.20e-10   1.14e-09   1.42e-09   1.73e-09   2.01e-09
  395    1e-04   0.0e+00   78  Kr     1.72e-11   2.10e-11   2.60e-11   3.90e-11   4.08e-11   5.92e-11
  396    1e-04   0.0e+00   80  Kr     2.00e-10   2.50e-10   4.03e-10   5.99e-10   8.32e-10   1.07e-09
  397    1e-04   0.0e+00   82  Kr     8.04e-10   9.08e-10   1.57e-09   2.23e-09   3.08e-09   3.85e-09
  398    1e-04   0.0e+00   83  Kr     6.23e-10   7.17e-10   1.06e-09   1.39e-09   1.80e-09   2.17e-09
  399    1e-04   0.0e+00   84  Kr     3.20e-09   3.65e-09   5.17e-09   6.57e-09   8.35e-09   9.99e-09
  400    1e-04   0.0e+00   86  Kr     9.99e-10   1.14e-09   1.58e-09   1.96e-09   2.39e-09   2.76e-09
  401    1e-04   0.0e+00   85  Rb     6.51e-10   7.44e-10   1.02e-09   1.27e-09   1.59e-09   1.88e-09
  402    1e-04   0.0e+00   87  Rb     2.75e-10   3.33e-10   4.37e-10   5.41e-10   6.58e-10   7.60e-10
  403    1e-04   0.0e+00   84  Sr     1.71e-11   2.34e-11   2.64e-11   3.84e-11   4.21e-11   5.68e-11
  404    1e-04   0.0e+00   86  Sr     4.10e-10   4.67e-10   8.25e-10   1.18e-09   1.67e-09   2.19e-09
  405    1e-04   0.0e+00   87  Sr     2.25e-10   2.54e-10   4.39e-10   6.25e-10   9.03e-10   1.17e-09
  406    1e-04   0.0e+00   88  Sr     2.58e-09   2.97e-09   4.20e-09   5.34e-09   6.80e-09   8.17e-09
  407    1e-04   0.0e+00   89  Y      6.22e-10   7.17e-10   1.00e-09   1.29e-09   1.60e-09   1.92e-09
  408    1e-04   0.0e+00   90  Zr     8.18e-10   9.72e-10   1.31e-09   1.68e-09   2.07e-09   2.44e-09
  409    1e-04   0.0e+00   91  Zr     1.73e-10   1.99e-10   2.82e-10   3.57e-10   4.43e-10   5.22e-10
  410    1e-04   0.0e+00   92  Zr     2.69e-10   3.06e-10   4.33e-10   5.47e-10   6.81e-10   8.05e-10
  411    1e-04   0.0e+00   94  Zr     2.71e-10   3.07e-10   4.25e-10   5.31e-10   6.51e-10   7.67e-10
  412    1e-04   0.0e+00   96  Zr     3.75e-11   4.38e-11   5.49e-11   6.61e-11   7.71e-11   8.77e-11
  413    1e-04   0.0e+00   93  Nb     9.42e-11   1.07e-10   1.50e-10   1.88e-10   2.33e-10   2.73e-10
  414    1e-04   0.0e+00   92  Mo     6.03e-11   8.32e-11   1.02e-10   1.32e-10   1.51e-10   1.81e-10
  415    1e-04   0.0e+00   94  Mo     4.93e-11   6.47e-11   9.15e-11   1.22e-10   1.47e-10   1.60e-10
  416    1e-04   0.0e+00   95  Mo     5.66e-11   6.47e-11   8.88e-11   1.09e-10   1.29e-10   1.48e-10
  417    1e-04   0.0e+00   96  Mo     8.52e-11   1.10e-10   1.59e-10   2.11e-10   2.75e-10   3.20e-10
  418    1e-04   0.0e+00   97  Mo     4.53e-11   5.12e-11   8.48e-11   1.32e-10   2.01e-10   2.91e-10
  419    1e-04   0.0e+00   98  Mo     7.80e-09   8.84e-09   1.23e-08   1.54e-08   1.88e-08   2.20e-08
  420    1e-04   2.5e+04    3  H      1.15e-59   1.31e-59   1.81e-59   2.28e-59   2.77e-59   3.23e-59
  421    1e-04   2.5e+04   14  C      1.45e-09   3.97e-09   1.05e-08   2.40e-08   2.52e-08   1.64e-08
  422    1e-04   2.5e+04   22  Na     2.73e-07   2.96e-07   1.17e-06   8.98e-06   2.48e-06   1.51e-05
  423    1e-04   2.5e+04   26  Al     7.00e-07   2.05e-06   1.65e-06   1.87e-06   2.17e-06   2.11e-06
  424    1e-04   2.5e+04   32  Si     2.09e-11   6.04e-11   8.93e-11   4.89e-12   9.86e-12   3.07e-12
  425    1e-04   2.5e+04   36  Cl     5.66e-08   1.56e-07   7.24e-08   4.70e-08   5.73e-08   4.43e-08
  426    1e-04   2.5e+04   39  Ar     1.10e-09   3.03e-09   1.82e-09   1.86e-09   2.64e-09   3.02e-09
  427    1e-04   2.5e+04   41  Ca     2.76e-06   1.65e-06   1.30e-06   2.50e-06   2.39e-06   3.48e-06
  428    1e-04   2.5e+04   45  Ca     1.08e-11   9.77e-11   6.99e-11   1.03e-10   6.66e-11   2.41e-10
  429    1e-04   2.5e+04   44  Ti     1.74e-05   4.12e-05   6.70e-05   1.84e-05   2.77e-05   1.18e-05
  430    1e-04   2.5e+04   49  V      7.27e-06   4.86e-06   5.48e-06   8.07e-06   5.92e-06   9.18e-06
  431    1e-04   2.5e+04   53  Mn     1.72e-04   1.10e-04   1.18e-04   1.81e-04   1.36e-04   2.15e-04
  432    1e-04   2.5e+04   54  Mn     1.06e-08   1.95e-09   1.35e-09   2.45e-09   2.05e-09   2.68e-09
  433    1e-04   2.5e+04   55  Fe     1.72e-04   6.91e-05   8.85e-05   1.13e-04   7.43e-05   1.19e-04
  434    1e-04   2.5e+04   60  Fe     3.10e-11   1.99e-09   1.60e-10   1.45e-10   1.59e-10   2.29e-10
  435    1e-04   2.5e+04   57  Co     1.72e-04   1.15e-04   1.47e-04   7.81e-05   8.39e-05   3.99e-05
  436    1e-04   2.5e+04   60  Co     3.93e-10   3.39e-09   1.41e-09   1.80e-09   2.01e-09   3.95e-09
  437    1e-04   2.5e+04   56  Ni     1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  438    1e-04   2.5e+04   57  Ni     3.20e-03   2.18e-03   2.78e-03   1.46e-03   1.57e-03   7.28e-04
  439    1e-04   2.5e+04   59  Ni     2.37e-04   3.47e-05   1.24e-04   1.17e-05   1.43e-05   4.63e-06
  440    1e-04   2.5e+04   63  Ni     7.50e-10   1.88e-09   2.95e-09   4.60e-09   7.48e-09   8.89e-09
  441    1e-04   2.5e+04   65  Zn     1.90e-06   9.85e-07   1.26e-06   3.47e-07   6.44e-07   6.52e-09
  442    1e-04   2.5e+04   68  Ge     8.78e-08   1.75e-09   3.90e-09   4.59e-10   6.76e-10   1.73e-10
  443    1e-04   2.5e+04   79  Se     1.13e-11   1.78e-11   5.61e-11   1.11e-10   1.17e-10   1.93e-10
  444    1e-04   2.5e+04   81  Kr     3.29e-11   3.66e-11   9.24e-11   1.37e-10   1.90e-10   2.30e-10
