# Units are Msun
# M_init	Cl35	Cl37	
8	0	0	
13	1.2e-04	2.8e-05	
15	1.3e-04	4.0e-05	
20	2.3e-04	7.1e-05	
25	2.9e-04	1.3e-04	
30	4.1e-04	1.9e-04	
40	5.7e-04	3.0e-04	
60	7.1e-04	4.1e-04	
80	9.7e-04	6.1e-04	
120	1.3e-03	9.0e-04	
