he 	 2.650e-01 
c 	 2.380e-03 
n 	 6.969e-04 
o 	 5.771e-03 
f 	 5.079e-07 
ne 	 1.262e-03 
na 	 2.942e-05 
mg 	 7.128e-04 
al 	 5.602e-05 
si 	 6.696e-04 
p 	 5.866e-06 
s 	 3.115e-04 
cl 	 8.261e-06 
ar 	 6.714e-05 
k 	 3.087e-06 
ca 	 6.461e-05 
sc 	 4.679e-08 
ti 	 3.144e-06 
v 	 3.195e-07 
cr 	 1.673e-05 
mn 	 1.090e-05 
fe 	 1.302e-03 
co 	 4.244e-06 
ni 	 7.179e-05 
cu 	 7.253e-07 
zn 	 1.750e-06 
ga 	 5.634e-08 
ge 	 2.390e-07 
as 	 1.102e-08 
se 	 1.273e-07 
br 	 2.042e-08 
kr 	 1.098e-07 
rb 	 2.086e-08 
sr 	 4.787e-08 
y 	 1.063e-08 
zr 	 2.556e-08 
nb 	 1.975e-09 
mo 	 4.816e-09 
