# Units are Msun
# M_init o15	o16		o17		o18		o19
8	0	0	0	0	0	
13	3.27e-16	2.03e-1	5.73e-5	4.92e-3	7.06e-26
15	3.18e-19	4.95e-1	5.83e-5	5.62e-3	9.34e-25
20	3.04e-16	1.26e0	5.80e-5	4.79e-3	1.82e-23
25	4.40e-16	2.35e0	5.68e-5	3.01e-3	3.96e-25	
30	4.46e-15	3.80e0	6.06e-5	9.84e-4	3.19e-19
40	6.97e-14	6.00e0	6.35e-5	3.03e-4	2.38e-24 
60	5.72e-15	8.23e0	1.43e-4	2.33e-4	4.16e-25 
80	1.08e-14	1.23e1	9.65e-5	2.64e-4	6.10e-23 
120	1.34e-14	1.79e1	9.78e-5	3.29e-4	2.04e-21 


