4  1H     5.5e+00   6.1e+00   7.6e+00   9.1e+00   9.9e+00   1.3e+01   1.9e+01   2.4e+01   3.7e+01
5  2H     1.4e-08   1.7e-16   1.9e-16   2.2e-16   2.3e-16   2.7e-16   3.0e-16   3.7e-16   5.0e-16
6  3H     1.9e-31   2.4e-31   4.3e-31   3.0e-30   1.4e-30   2.4e-30   7.0e-30   1.3e-29   1.4e-29
7  3He    2.4e-04   2.6e-04   3.3e-04   4.0e-04   4.3e-04   5.9e-04   9.0e-04   1.1e-03   1.5e-03
8  4He    3.9e+00   4.4e+00   5.5e+00   7.1e+00   8.7e+00   1.2e+01   2.1e+01   3.1e+01   5.8e+01
9  6Li    2.9e-13   1.3e-14   2.9e-14   3.6e-14   5.5e-14   5.6e-15   1.1e-14   1.4e-14   1.1e-22
10  7Li    1.2e-10   2.4e-10   6.7e-10   9.9e-10   1.3e-09   1.5e-09   1.4e-09   6.8e-10   1.4e-15
11  7Be    4.3e-15   3.1e-14   6.2e-12   2.6e-11   3.1e-11   5.0e-11   1.7e-11   3.3e-10   2.5e-12
12  9Be    7.3e-12   1.3e-11   3.1e-11   4.9e-11   6.6e-11   9.6e-11   1.4e-10   1.5e-10   1.3e-41
13  10Be   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00   0.0e+00
14  10B    4.9e-11   7.7e-11   1.8e-10   2.8e-10   3.9e-10   5.9e-10   9.5e-10   1.3e-09   7.8e-15
15  11B    2.6e-09   2.9e-09   4.1e-09   5.6e-09   6.9e-09   1.1e-08   1.9e-08   2.9e-08   4.6e-08
16  12C    3.2e-01   4.2e-01   7.9e-01   1.1e+00   1.1e+00   2.0e+00   3.6e+00   4.8e+00   4.6e+00
17  13C    1.1e-03   1.2e-03   3.1e-03   3.7e-03   4.0e-03   7.2e-03   6.6e-03   3.7e-03   2.2e-03
18  14C    9.9e-06   2.4e-05   1.1e-05   3.1e-05   4.2e-05   2.5e-05   1.8e-06   1.1e-06   9.7e-07
19  13N    1.4e-13   1.9e-13   2.7e-13   1.3e-12   2.4e-12   1.2e-12   1.6e-10   1.3e-11   6.5e-12
20  14N    4.3e-02   4.8e-02   7.1e-02   1.1e-01   1.4e-01   1.9e-01   2.5e-01   3.0e-01   5.8e-01
21  15N    2.0e-05   3.5e-05   9.1e-06   5.3e-05   3.6e-05   1.5e-05   1.9e-05   2.7e-05   4.2e-05
22  16N    3.6e-29   1.8e-29   1.2e-30   1.4e-28   6.2e-32   1.5e-34   7.0e-30   1.2e-29   2.0e-31
23  15O    3.3e-16   7.7e-17   4.0e-15   2.3e-14   3.9e-14   2.0e-14   7.8e-15   8.7e-15   9.4e-15
24  16O    9.9e-01   1.5e+00   2.7e+00   3.8e+00   5.8e+00   7.1e+00   1.0e+01   1.3e+01   1.2e+01
25  17O    1.8e-04   2.7e-04   1.9e-04   4.2e-04   2.7e-04   1.5e-04   8.5e-05   8.6e-05   1.0e-04
26  18O    4.8e-03   8.5e-03   1.8e-04   4.1e-04   2.6e-04   1.5e-04   1.8e-04   2.1e-04   2.8e-04
27  19O    1.3e-21   1.4e-21   3.3e-24   1.1e-20   4.8e-24   4.7e-28   4.0e-24   8.8e-21   7.9e-23
28  17F    4.0e-20   2.9e-19   1.5e-17   9.7e-17   2.7e-16   6.8e-17   4.0e-18   1.7e-18   1.2e-18
29  18F    3.7e-07   1.0e-06   4.1e-08   1.2e-06   9.0e-07   3.0e-07   2.3e-07   1.3e-07   6.3e-08
30  19F    6.9e-06   9.6e-06   2.8e-05   8.9e-05   2.4e-04   1.1e-04   2.4e-05   3.3e-05   3.3e-05
31  20F    9.1e-23   1.4e-22   1.6e-25   1.9e-20   3.3e-23   4.7e-28   2.0e-24   9.2e-23   9.9e-26
32  20Ne   4.3e-02   5.2e-02   5.2e-01   3.2e-01   8.1e-01   1.5e+00   1.4e+00   1.5e+00   1.8e+00
33  21Ne   6.5e-04   9.8e-04   1.9e-03   3.9e-03   4.7e-03   5.8e-03   7.5e-03   9.6e-03   8.7e-03
34  22Ne   1.9e-02   2.7e-02   4.0e-02   9.2e-02   8.8e-02   5.0e-02   5.5e-02   9.9e-02   9.7e-02
35  23Ne   9.3e-16   2.0e-15   1.9e-17   4.8e-14   3.6e-17   3.0e-21   2.8e-17   1.3e-14   1.1e-16
36  21Na   1.0e-15   1.8e-15   3.0e-17   1.2e-14   1.5e-16   2.3e-20   4.7e-16   5.2e-14   3.3e-15
37  22Na   2.7e-07   4.4e-07   4.7e-06   1.7e-06   1.8e-06   1.3e-05   1.6e-05   1.1e-05   1.9e-05
38  23Na   1.4e-03   1.9e-03   1.2e-02   8.8e-03   8.7e-03   3.8e-02   3.5e-02   3.2e-02   4.8e-02
39  24Na   2.5e-06   2.9e-06   3.8e-06   9.1e-06   4.7e-06   1.8e-05   2.9e-05   2.6e-05   2.7e-05
40  23Mg   5.3e-15   6.8e-19   3.0e-24   7.6e-15   8.8e-20   4.3e-27   1.3e-15   1.6e-15   6.1e-16
41  24Mg   2.0e-02   3.2e-02   8.5e-02   9.3e-02   2.3e-01   2.2e-01   2.7e-01   3.5e-01   4.1e-01
42  25Mg   3.0e-03   4.6e-03   1.5e-02   1.8e-02   3.8e-02   5.3e-02   5.9e-02   6.9e-02   7.0e-02
43  26Mg   7.0e-03   1.1e-02   2.5e-02   4.1e-02   7.7e-02   9.9e-02   1.2e-01   1.5e-01   1.5e-01
44  27Mg   2.0e-12   5.0e-12   9.7e-15   5.2e-11   5.8e-14   7.9e-14   1.6e-13   1.2e-10   9.0e-13
45  25Al   3.4e-19   9.8e-19   2.3e-18   1.1e-17   5.7e-18   5.4e-21   1.1e-17   2.2e-17   4.9e-18
46  26Al   2.2e-05   4.7e-05   6.4e-05   1.0e-04   1.0e-04   1.1e-04   3.1e-04   4.8e-04   8.6e-04
47  27Al   2.5e-03   3.8e-03   1.8e-02   1.6e-02   4.4e-02   6.1e-02   5.2e-02   5.1e-02   6.9e-02
48  28Al   5.4e-12   1.8e-13   1.7e-16   1.5e-11   1.3e-12   2.3e-17   8.3e-12   4.2e-11   1.9e-11
49  27Si   2.3e-15   1.5e-19   1.4e-22   2.4e-15   4.4e-22   1.8e-26   3.7e-18   2.2e-18   3.5e-19
50  28Si   1.2e-01   1.7e-01   2.6e-01   3.6e-01   3.3e-01   4.0e-01   5.1e-01   7.3e-01   7.7e-01
51  29Si   1.9e-03   3.1e-03   4.5e-03   8.3e-03   1.8e-02   1.1e-02   1.5e-02   2.0e-02   2.1e-02
52  30Si   3.0e-03   4.9e-03   4.5e-03   1.4e-02   1.6e-02   9.6e-03   2.1e-02   3.0e-02   3.0e-02
53  31Si   2.8e-07   5.2e-07   3.6e-07   1.1e-06   2.8e-06   1.0e-06   1.5e-06   1.9e-06   1.8e-06
54  32Si   5.8e-08   1.4e-07   7.5e-08   8.3e-08   5.9e-07   2.1e-07   1.9e-07   1.8e-07   1.9e-07
55  29P    1.9e-20   4.6e-20   1.4e-21   4.7e-19   1.5e-21   2.6e-25   5.0e-22   3.0e-20   7.0e-22
56  30P    1.2e-11   3.6e-13   1.1e-15   2.6e-11   2.2e-13   3.6e-18   4.0e-11   8.2e-11   7.5e-11
