# Units are Msun
# M_init	c12		c13		c14
8	0	0	0
13	3.25e-1	1.06e-3	9.91e-6
15	4.22e-1	1.15e-3	2.45e-5 
20 	7.93e-1	3.14e-3	1.08e-5
25	1.10e0	3.66e-3	3.06e-5 
30	1.08e0	4.04e-3	4.22e-5
40	1.95e0	7.16e-3	2.55e-5 
60	3.60e0	6.59e-3	1.85e-6 
80	4.82e0	3.70e-3	1.13e-6
120	4.62e0	2.24e-3	9.67e-7 




