# Units are msun
# M_init fe52	fe53	fe54	fe55	fe56	fe57	fe58	fe59	fe60	fe61
8	0	0	0	0	0	0	0	0	0	0
13	6.60e-4	1.70e-13	5.71e-3	1.21e-4	1.35e-2	3.55e-4	1.09e-4	4.29e-6	1.46e-6	1.48e-16
15	8.92e-4	2.84e-17	1.23e-2	2.37e-4	1.54e-2	5.06e-4	2.75e-4	5.66e-6	3.77e-6	5.50e-16
20	1.14e-3	3.09e-14	1.04e-2	2.17e-4	2.05e-2	7.80e-4	6.52e-4	2.26e-5	6.11e-6	7.49e-20
25	1.34e-3	5.15e-14	9.78e-3	2.20e-4	2.50e-2	1.09e-3	1.30e-3	1.72e-5	9.57e-6	1.76e-16
30	1.48e-3	3.23e-13	1.41e-2	2.75e-4	2.90e-2	1.42e-3	2.15e-3	2.06e-5	9.41e-6	2.47e-14
40	3.16e-3	7.90e-13	2.19e-2	5.07e-4	3.75e-2	1.98e-3	3.44e-3	1.97e-4	4.76e-5	2.06e-22
60	3.70e-3	6.91e-13	2.93e-2	6.06e-4	5.75e-2	2.98e-3	5.43e-3	6.71e-4	2.75e-4	1.79e-20
80	3.77e-3	1.49e-12	4.03e-2	6.86e-4	7.57e-2	3.67e-3	7.46e-3	1.00e-3	5.88e-4	1.33e-18
120	4.50e-3	1.72e-12	5.70e-2	9.49e-4	1.17e-1	5.53e-3	1.03e-2	9.39e-4	5.87e-4	1.35e-16

