h1    7.11E-01
h2    2.76E-05
he3   3.41E-05
he4   2.74E-01
li6   7.39E-10
li7   1.05E-08
be9   1.94E-10
b10   1.00E-09
b11   4.47E-09
c12   2.46E-03
c13   2.98E-05
n14   7.96E-04
n15   3.13E-06
o16   6.60E-03
o17   2.62E-06
o18   1.49E-05
f19   4.67E-07
ne20  1.17E-03
ne21  2.94E-06
ne22  9.44E-05
na23  3.87E-05
mg24  5.65E-04
mg25  7.46E-05
mg26  8.54E-05
al26  1.00E-10
al27  6.64E-05
si28  7.55E-04
si29  3.97E-05
si30  2.71E-05
p31   7.59E-06
s32   3.96E-04
s33   3.22E-06
s34   1.86E-05
s36   8.00E-08
cl35  4.06E-06
cl37  1.37E-06
ar36  9.13E-05
ar38  1.75E-05
ar40  2.81E-08
k39   3.93E-06
k40   6.28E-09
k41   2.98E-07
ca40  7.13E-05
ca42  5.00E-07
ca43  1.07E-07
ca44  1.69E-06
ca46  3.36E-09
ca48  1.66E-07
sc45  4.50E-08
ti46  2.69E-07
ti47  2.47E-07
ti48  2.51E-06
ti49  1.88E-07
ti50  1.84E-07
v50   1.05E-09
v51   4.29E-07
cr50  8.17E-07
cr52  1.64E-05
cr53  1.89E-06
cr54  4.80E-07
mn55  1.47E-05
fe54  7.73E-05
fe56  1.26E-03
fe57  2.96E-05
fe58  4.00E-06
fe60  1.00E-10
co59  4.01E-06
ni58  5.52E-05
ni60  2.20E-05
ni61  9.72E-07
ni62  3.15E-06
ni64  8.27E-07
cu63  6.72E-07
cu65  3.09E-07
zn64  1.12E-06
zn66  6.60E-07
zn67  9.86E-08
zn68  4.57E-07
zn70  1.56E-08
ga69  4.36E-08
ga71  2.98E-08
ge70  5.24E-08
ge72  7.03E-08
ge73  1.99E-08
ge74  9.37E-08
ge76  2.00E-08
as75  1.34E-08
se74  1.26E-09
se76  1.37E-08
se77  1.13E-08
se78  3.57E-08
se80  7.64E-08
se82  1.38E-08
br79  1.33E-08
br81  1.32E-08
kr78  4.56E-10
kr80  2.99E-09
kr82  1.54E-08
kr83  1.55E-08
kr84  7.71E-08
kr86  2.39E-08
rb85  1.18E-08
rb87  4.96E-09
sr84  3.22E-10
sr86  5.84E-09
sr87  4.13E-09
sr88  5.00E-08
y89   1.20E-08
zr90  1.53E-08
zr91  3.39E-09
zr92  5.23E-09
zr94  5.41E-09
zr96  8.90E-10
nb93  2.05E-09
mo92  1.04E-09
mo94  6.62E-10
mo95  1.15E-09
mo96  1.22E-09
mo97  7.06E-10
mo98  1.80E-09
mo100 7.34E-10
ru96  2.96E-10
ru98  1.02E-10
ru99  7.01E-10
ru100  6.99E-10
ru101  9.57E-10
ru102  1.79E-09
ru104  1.08E-09
rh103  1.12E-09
pd102  4.36E-11
pd104  4.87E-10
pd105  9.83E-10
pd106  1.22E-09
pd108  1.20E-09
pd110  5.40E-10
ag107  7.97E-10
ag109  7.54E-10
cd106  6.14E-11
cd108  4.45E-11
cd110  6.37E-10
cd111  6.59E-10
cd112  1.25E-09
cd113  6.41E-10
cd114  1.52E-09
cd116  4.04E-10
in113  2.58E-11
in115  5.82E-10
sn112  1.19E-10
sn114  8.20E-11
sn115  4.25E-11
sn116  1.84E-09
sn117  9.80E-10
sn118  3.12E-09
sn119  1.12E-09
sn120  4.27E-09
sn122  6.17E-10
sn124  7.84E-10
sb121  6.66E-10
sb123  5.07E-10
te120  1.61E-11
te122  4.47E-10
te123  1.57E-10
te124  8.41E-10
te125  1.26E-09
te126  3.36E-09
te128  5.71E-09
te130  6.19E-09
i127   3.70E-09
xe124  2.52E-11
xe126  2.22E-11
xe128  4.49E-10
xe129  5.58E-09
xe130  8.97E-10
xe131  4.50E-09
xe132  5.49E-09
xe134  2.04E-09
xe136  1.69E-09
cs133  1.43E-09
ba130  1.75E-11
ba132  1.70E-11
ba134  4.12E-10
ba135  1.13E-09
ba136  1.36E-09
ba137  1.96E-09
ba138  1.26E-08
la138  1.62E-12
la139  1.79E-09
ce136  8.63E-12
ce138  1.18E-11
ce140  4.23E-09
ce142  5.39E-10
pr141  7.16E-10
nd142  9.42E-10
nd143  4.21E-10
nd144  8.38E-10
nd145  2.94E-10
nd146  6.12E-10
nd148  2.08E-10
nd150  2.06E-10
sm144  3.29E-11
sm147  1.69E-10
sm148  1.24E-10
sm149  1.53E-10
sm150  8.25E-11
sm152  3.02E-10
sm154  2.60E-10
eu151  2.01E-10
eu153  2.22E-10
gd152  2.98E-12
gd154  3.26E-11
gd155  2.23E-10
gd156  3.10E-10
gd157  2.39E-10
gd158  3.81E-10
gd160  3.40E-10
tb159  2.75E-10
dy156  9.85E-13
dy158  1.71E-12
dy160  4.23E-11
dy161  3.44E-10
dy162  4.67E-10
dy163  4.59E-10
dy164  5.22E-10
ho165  4.34E-10
er162  1.66E-12
er164  1.97E-11
er166  4.17E-10
er167  2.86E-10
er168  3.36E-10
er170  1.90E-10
tm169  1.83E-10
yb168  1.59E-12
yb170  3.75E-11
yb171  1.77E-10
yb172  2.73E-10
yb173  2.03E-10
yb174  4.02E-10
yb176  1.63E-10
lu175  1.78E-10
lu176  5.19E-12
hf174  1.40E-12
hf176  4.55E-11
hf177  1.64E-10
hf178  2.41E-10
hf179  1.21E-10
hf180  3.14E-10
ta180  1.32E-14
ta181  1.11E-10
w180   8.05E-13
w182   1.80E-10
w183   9.78E-11
w184   2.11E-10
w186   1.97E-10
re185  1.06E-10
re187  1.94E-10
os184  7.16E-13
os186  5.83E-11
os187  4.67E-11
os188  4.92E-10
os189  6.03E-10
os190  9.86E-10
os192  1.55E-09
ir191  1.34E-09
ir193  2.28E-09
pt190  1.03E-12
pt192  5.96E-11
pt194  2.54E-09
pt195  2.62E-09
pt196  1.96E-09
pt198  5.63E-10
au197  1.13E-09
hg196  3.61E-12
hg198  2.38E-10
hg199  4.06E-10
hg200  5.57E-10
hg201  3.20E-10
hg202  7.28E-10
hg204  1.69E-10
tl203  3.24E-10
tl205  7.79E-10
pb204  3.85E-10
pb206  3.62E-09
pb207  4.03E-09
pb208  1.16E-08
bi209  8.48E-10
th232  2.98E-10
u235   4.07E-11
u238   1.30E-10
