he3 	 3.120e-05
he4 	 2.650e-01
c12 	 2.351e-03
c13 	 2.849e-05
n14 	 6.952e-04
n15 	 1.710e-06
o16 	 5.755e-03
o17 	 2.323e-06
o18 	 1.298e-05
f19 	 5.079e-07
ne20 	 1.165e-03
ne21 	 2.932e-06
ne22 	 9.421e-05
na23 	 2.942e-05
mg24 	 5.556e-04
mg25 	 7.327e-05
mg26 	 8.390e-05
al27 	 5.602e-05
si28 	 6.152e-04
si29 	 3.235e-05
si30 	 2.206e-05
p31 	 5.866e-06
s32 	 2.948e-04
s33 	 2.434e-06
s34 	 1.415e-05
s36 	 6.987e-08
cl35 	 6.174e-06
cl37 	 2.086e-06
ar36 	 5.631e-05
ar38 	 1.081e-05
ar40 	 1.820e-08
k39 	 2.865e-06
k41 	 2.174e-07
ca40 	 6.245e-05
ca42 	 4.377e-07
ca43 	 9.349e-08
ca44 	 1.478e-06
ca46 	 2.963e-09
sc45 	 4.679e-08
ti46 	 2.490e-07
ti47 	 2.294e-07
ti48 	 2.322e-06
ti49 	 1.739e-07
ti50 	 1.699e-07
v51 	 3.188e-07
cr50 	 6.981e-07
cr52 	 1.400e-05
cr53 	 1.618e-06
cr54 	 4.104e-07
mn55 	 1.090e-05
fe54 	 7.348e-05
fe56 	 1.196e-03
fe57 	 2.812e-05
fe58 	 3.808e-06
co59 	 4.244e-06
ni58 	 4.824e-05
ni60 	 1.922e-05
ni61 	 8.495e-07
ni62 	 2.753e-06
ni64 	 7.237e-07
cu63 	 4.969e-07
cu65 	 2.285e-07
zn64 	 8.319e-07
zn66 	 4.922e-07
zn67 	 7.342e-08
zn68 	 3.408e-07
zn70 	 1.160e-08
ga69 	 3.348e-08
ga71 	 2.286e-08
ge70 	 4.797e-08
ge72 	 6.520e-08
ge73 	 1.856e-08
ge74 	 8.828e-08
as75 	 1.102e-08
se74 	 1.061e-09
se76 	 1.147e-08
se77 	 9.462e-09
se78 	 2.986e-08
se80 	 6.392e-08
br79 	 1.022e-08
br81 	 1.019e-08
kr80 	 2.436e-09
kr82 	 1.251e-08
kr83 	 1.255e-08
kr84 	 6.257e-08
kr86 	 1.937e-08
rb85 	 1.468e-08
sr84 	 2.558e-10
sr86 	 4.631e-09
sr87 	 3.274e-09
sr88 	 3.971e-08
y89 	 1.063e-08
zr90 	 1.296e-08
zr91 	 2.858e-09
zr92 	 4.416e-09
zr94 	 4.573e-09
nb93 	 1.975e-09
mo92 	 7.462e-10
mo94 	 4.804e-10
mo95 	 8.402e-10
mo96 	 8.938e-10
mo97 	 5.200e-10
mo98 	 1.335e-09
